,NASH_up,diff_w4_up,diff_w8_up,diff_w16_up,diff_w32_up,diff_w48_up
988,NA,NA,NA,Nop2,RGD1306739,NA
989,NA,NA,NA,Nop56,RGD1307315,NA
990,NA,NA,NA,Nop58,RGD1311739,NA
991,NA,NA,NA,Nos1,RGD1311756,NA
992,NA,NA,NA,Nos2,RGD1311946,NA
993,NA,NA,NA,Notch2,RGD1359127,NA
994,NA,NA,NA,Np4,RGD1561149,NA
995,NA,NA,NA,Npas2,RGD1561849,NA
996,NA,NA,NA,Npdc1,RGD1562284,NA
997,NA,NA,NA,Npffr2,RGD1562608,NA
998,NA,NA,NA,Nr2c2ap,RGD1562699,NA
999,NA,NA,NA,Nr4a1,RGD1564124,NA
1000,NA,NA,NA,Nradd,RGD1564664,NA
1001,NA,NA,NA,Nrg1,RGD1565355,NA
1002,NA,NA,NA,Nrp2,RGD1565367,NA
1003,NA,NA,NA,Nt5c,RGD1566401,NA
1004,NA,NA,NA,Nt5c3b,Rgs14,NA
1005,NA,NA,NA,Nuak1,Rgs4,NA
1006,NA,NA,NA,Nudt13,Rgs5,NA
1007,NA,NA,NA,Nudt7,Rhbdf1,NA
1008,NA,NA,NA,Nup205,Rhbdf2,NA
1009,NA,NA,NA,Nupr1,Rhbg,NA
1010,NA,NA,NA,Nusap1,Rhob,NA
1011,NA,NA,NA,Nxt1,Rhoc,NA
1012,NA,NA,NA,Nyap1,Rhoj,NA
1013,NA,NA,NA,Oasl2,Rhoq,NA
1014,NA,NA,NA,Odc1,Rhov,NA
1015,NA,NA,NA,Olfml2a,Ric3,NA
1016,NA,NA,NA,Olfml2b,Rims2,NA
1017,NA,NA,NA,Olr1,Rin1,NA
1018,NA,NA,NA,Orai2,Ripk2,NA
1019,NA,NA,NA,Orm1,Ripk3,NA
1020,NA,NA,NA,Oscar,Rmnd5b,NA
1021,NA,NA,NA,Osmr,Rnd1,NA
1022,NA,NA,NA,Oxct1,Rnf11l1,NA
1023,NA,NA,NA,P2rx5,Rnf208,NA
1024,NA,NA,NA,P3h4,Rnf219,NA
1025,NA,NA,NA,Pak1,Rnpepl1,NA
1026,NA,NA,NA,Pak1ip1,Robo2,NA
1027,NA,NA,NA,Palm,Ros1,NA
1028,NA,NA,NA,Palm2,Rp1,NA
1029,NA,NA,NA,Papss1,Rps6ka2,NA
1030,NA,NA,NA,Paqr3,Rps6ka3,NA
1031,NA,NA,NA,Paqr8,Rrp9,NA
1032,NA,NA,NA,Parp14,Rsad1,NA
1033,NA,NA,NA,Parp16,RT1-M4,NA
1034,NA,NA,NA,Parp3,Rtkn,NA
1035,NA,NA,NA,Parvb,Rtn4,NA
1036,NA,NA,NA,Pax6,Rtn4r,NA
1037,NA,NA,NA,Pax8,Runx1,NA
1038,NA,NA,NA,Pbk,S100a10,NA
1039,NA,NA,NA,Pcdh19,S100a11,NA
1040,NA,NA,NA,Pcdhb20,S100a16,NA
1041,NA,NA,NA,Pcdhb21,S100a4,NA
1042,NA,NA,NA,Pcdhga10,S100a6,NA
1043,NA,NA,NA,Pcdhga11,S100a8,NA
1044,NA,NA,NA,Pcdhga12,S100a9,NA
1045,NA,NA,NA,Pcdhga2,S1pr2,NA
1046,NA,NA,NA,Pcdhga5,Sall2,NA
1047,NA,NA,NA,Pcdhga7,Samd4a,NA
1048,NA,NA,NA,Pcdhga9,Sat1,NA
1049,NA,NA,NA,Pcdhgb7,Scamp5,NA
1050,NA,NA,NA,Pcolce,Scara3,NA
1051,NA,NA,NA,Pcp4l1,Scara5,NA
1052,NA,NA,NA,Pcyox1l,Scarf2,NA
1053,NA,NA,NA,Pdcl3,Scd2,NA
1054,NA,NA,NA,Pde10a,Schip1,NA
1055,NA,NA,NA,Pde5a,Scn3a,NA
1056,NA,NA,NA,Pde9a,Scn7a,NA
1057,NA,NA,NA,Pdgfa,Sctr,NA
1058,NA,NA,NA,Pdgfb,Scube1,NA
1059,NA,NA,NA,Pdgfd,Sdc1,NA
1060,NA,NA,NA,Pdgfra,Sdk2,NA
1061,NA,NA,NA,Pdgfrb,Sele,NA
1062,NA,NA,NA,Pdk3,Selm,NA
1063,NA,NA,NA,Pdlim1,Sema3b,NA
1064,NA,NA,NA,Pdlim2,Sema3c,NA
1065,NA,NA,NA,Pdlim4,Sema3e,NA
1066,NA,NA,NA,Pdlim7,Sema3f,NA
1067,NA,NA,NA,Peak1,Sema3g,NA
1068,NA,NA,NA,Penk,Sema4a,NA
1069,NA,NA,NA,Perp,Sema5a,NA
1070,NA,NA,NA,Pfkfb3,Sema7a,NA
1071,NA,NA,NA,Pfkp,Sep-11,NA
1072,NA,NA,NA,Pgam1,Sep-08,NA
1073,NA,NA,NA,Pgam5,Serinc2,NA
1074,NA,NA,NA,Pgd,Serpinb1a,NA
1075,NA,NA,NA,Pgm2,Serpinb5,NA
1076,NA,NA,NA,Phactr2,Serpinb8,NA
1077,NA,NA,NA,Phc2,Serpinb9,NA
1078,NA,NA,NA,Phlda1,Serpine1,NA
1079,NA,NA,NA,Phlda2,Serpinh1,NA
1080,NA,NA,NA,Phldb1,Sertad1,NA
1081,NA,NA,NA,Piezo1,Sertad4,NA
1082,NA,NA,NA,Pih1d2,Sesn3,NA
1083,NA,NA,NA,Pik3c2b,Sestd1,NA
1084,NA,NA,NA,Pik3r5,Sfrp2,NA
1085,NA,NA,NA,Pkd2,Sfxn3,NA
1086,NA,NA,NA,Pkia,Sgcb,NA
1087,NA,NA,NA,Pkm,Sgms2,NA
1088,NA,NA,NA,Pkp2,Sh3bgr,NA
1089,NA,NA,NA,Pla1a,Sh3bgrl2,NA
1090,NA,NA,NA,Pla2g7,Sh3bp4,NA
1091,NA,NA,NA,Plat,Sh3gl2,NA
1092,NA,NA,NA,Plau,Sh3rf2,NA
1093,NA,NA,NA,Plaur,Sh3yl1,NA
1094,NA,NA,NA,Plcd1,Shtn1,NA
1095,NA,NA,NA,Plce1,Sirpa,NA
1096,NA,NA,NA,Plch1,Ska2,NA
1097,NA,NA,NA,Plcxd3,Slc10a2,NA
1098,NA,NA,NA,Pld1,Slc12a2,NA
1099,NA,NA,NA,Plek2,Slc14a1,NA
1100,NA,NA,NA,Plekha1,Slc1a2,NA
1101,NA,NA,NA,Plekha4,Slc1a5,NA
1102,NA,NA,NA,Plekhg1,Slc20a1,NA
1103,NA,NA,NA,Plekhg2,Slc22a15,NA
1104,NA,NA,NA,Plekhh1,Slc23a3,NA
1105,NA,NA,NA,Plekhs1,Slc25a24,NA
1106,NA,NA,NA,Plet1,Slc25a27,NA
1107,NA,NA,NA,Plin2,Slc25a4,NA
1108,NA,NA,NA,Plin5,Slc26a9,NA
1109,NA,NA,NA,Plk1,Slc29a3,NA
1110,NA,NA,NA,Plk3,Slc34a2,NA
1111,NA,NA,NA,Plod2,Slc36a2,NA
1112,NA,NA,NA,Plp2,Slc36a4,NA
1113,NA,NA,NA,Plscr1,Slc39a10,NA
1114,NA,NA,NA,Plscr3,Slc39a5,NA
1115,NA,NA,NA,Plscr4,Slc3a2,NA
1116,NA,NA,NA,Plxna3,Slc4a3,NA
1117,NA,NA,NA,Pmepa1,Slc4a4,NA
1118,NA,NA,NA,Pmp22,Slc5a1,NA
1119,NA,NA,NA,Pmvk,Slc5a10,NA
1120,NA,NA,NA,Pnliprp2,Slc5a9,NA
1121,NA,NA,NA,Pno1,Slc7a1,NA
1122,NA,NA,NA,Pnoc,Slc7a11,NA
1123,NA,NA,NA,Pnpla5,Slc7a5,NA
1124,NA,NA,NA,Pnrc1,Slc7a6,NA
1125,NA,NA,NA,Polb,Slco3a1,NA
1126,NA,NA,NA,Polr3g,Slfnl1,NA
1127,NA,NA,NA,Popdc2,Slit2,NA
1128,NA,NA,NA,Postn,Slitrk4,NA
1129,NA,NA,NA,Ppapdc2,Smarcd1,NA
1130,NA,NA,NA,Ppic,Smoc2,NA
1131,NA,NA,NA,Ppil1,Smox,NA
1132,NA,NA,NA,Ppil3,Smpd3,NA
1133,NA,NA,NA,Ppl,Smtnl2,NA
1134,NA,NA,NA,Ppp1r14b,Snai1,NA
1135,NA,NA,NA,Ppp1r14c,Sncaip,NA
1136,NA,NA,NA,Ppp1r15a,Sncg,NA
1137,NA,NA,NA,Ppp2ca,Sned1,NA
1138,NA,NA,NA,Ppp2cb,Snhg11,NA
1139,NA,NA,NA,Ppp2r1b,Snx10,NA
1140,NA,NA,NA,Ppp2r2d,Snx12,NA
1141,NA,NA,NA,Pprc1,Snx29,NA
1142,NA,NA,NA,Pqlc3,Sod2,NA
1143,NA,NA,NA,Pragmin,Sorcs1,NA
1144,NA,NA,NA,Prc1,Sorcs2,NA
1145,NA,NA,NA,Prickle1,Sowahc,NA
1146,NA,NA,NA,Prkaa1,Sox4,NA
1147,NA,NA,NA,Prkab2,Sox9,NA
1148,NA,NA,NA,Prkar1b,Sparcl1,NA
1149,NA,NA,NA,Prkar2a,Spata2L,NA
1150,NA,NA,NA,Prkca,Spats1,NA
1151,NA,NA,NA,Prkci,Spats2,NA
1152,NA,NA,NA,Prkd1,Spdef,NA
1153,NA,NA,NA,Prkrir,Specc1,NA
1154,NA,NA,NA,Prkx,Speg,NA
1155,NA,NA,NA,Prmt3,Sphk1,NA
1156,NA,NA,NA,Procr,Spint1,NA
1157,NA,NA,NA,Prr13,Spn,NA
1158,NA,NA,NA,Prr7,Spns2,NA
1159,NA,NA,NA,Prrx1,Spp1,NA
1160,NA,NA,NA,Prss22,Spryd3,NA
1161,NA,NA,NA,Prss36,Spsb4,NA
1162,NA,NA,NA,Prss8,Sptan1,NA
1163,NA,NA,NA,Prtfdc1,Sptbn4,NA
1164,NA,NA,NA,Psat1,Sptssb,NA
1165,NA,NA,NA,Psca,Src,NA
1166,NA,NA,NA,Psen2,Srd5a3,NA
1167,NA,NA,NA,Psmb9,Sri,NA
1168,NA,NA,NA,Psph,Srpx,NA
1169,NA,NA,NA,Ptcd3,Srpx2,NA
1170,NA,NA,NA,Ptger2,Srxn1,NA
1171,NA,NA,NA,Ptger4,Ssc5d,NA
1172,NA,NA,NA,Ptgfrn,Sstr3,NA
1173,NA,NA,NA,Ptgs2,St3gal2,NA
1174,NA,NA,NA,Ptk2b,St3gal4,NA
1175,NA,NA,NA,Ptk7,St6galnac2,NA
1176,NA,NA,NA,Ptpn23,Stap1,NA
1177,NA,NA,NA,Ptpre,Steap2,NA
1178,NA,NA,NA,Ptprr,Steap4,NA
1179,NA,NA,NA,Ptprt,Stk26,NA
1180,NA,NA,NA,Ptprv,Stk39,NA
1181,NA,NA,NA,Ptrf,Stk40,NA
1182,NA,NA,NA,Pus1,Ston1,NA
1183,NA,NA,NA,PVR,Stx1a,NA
1184,NA,NA,NA,Pwwp2b,Stx1b,NA
1185,NA,NA,NA,Pxdn,Stxbp1,NA
1186,NA,NA,NA,Pycr1,Sulf1,NA
1187,NA,NA,NA,Pygb,Sult2a2,NA
1188,NA,NA,NA,Qrfpr,Sult2a6,NA
1189,NA,NA,NA,Rab11fip1,Sult5a1,NA
1190,NA,NA,NA,Rab12,Susd3,NA
1191,NA,NA,NA,Rab15,Syde1,NA
1192,NA,NA,NA,Rab23,Syn3,NA
1193,NA,NA,NA,Rab31,Syne3,NA
1194,NA,NA,NA,Rab32,Synj2,NA
1195,NA,NA,NA,Rab38,Synpo,NA
1196,NA,NA,NA,Rab4a,Synpo2,NA
1197,NA,NA,NA,Rab7b,Syt1,NA
1198,NA,NA,NA,Rad18,Syt7,NA
1199,NA,NA,NA,Rad51,Tacc2,NA
1200,NA,NA,NA,Rai14,Tacstd2,NA
1201,NA,NA,NA,Ralb,Tagln,NA
1202,NA,NA,NA,Ralyl,Tagln2,NA
1203,NA,NA,NA,Ramp1,Tax1bp3,NA
1204,NA,NA,NA,Ran,Tbcel,NA
1205,NA,NA,NA,Ranbp1,Tcf21,NA
1206,NA,NA,NA,Rap1gap,Tcf3,NA
1207,NA,NA,NA,Rap2b,Tcp11l1,NA
1208,NA,NA,NA,Rapgef3,Tdh,NA
1209,NA,NA,NA,Rapgef5,Tenm3,NA
1210,NA,NA,NA,Rarb,Tes,NA
1211,NA,NA,NA,Rasa2,Tex36,NA
1212,NA,NA,NA,Rasa3,Tfcp2l1,NA
1213,NA,NA,NA,Rasef,Tgfb1i1,NA
1214,NA,NA,NA,Rasl10b,Tgm2,NA
1215,NA,NA,NA,Rasl11b,Thbs1,NA
1216,NA,NA,NA,Rasl12,Thsd1,NA
1217,NA,NA,NA,Rassf1,Thy1,NA
1218,NA,NA,NA,Rassf8,Tiam1,NA
1219,NA,NA,NA,Rassf9,Tigar,NA
1220,NA,NA,NA,Rbbp8,Timp1,NA
1221,NA,NA,NA,Rbm3,Timp3,NA
1222,NA,NA,NA,Rbpjl,Tll1,NA
1223,NA,NA,NA,Rcan3,Tm4sf1,NA
1224,NA,NA,NA,Rcn1,Tm4sf19,NA
1225,NA,NA,NA,Rdh13,Tm4sf20,NA
1226,NA,NA,NA,Rec8,Tm6sf1,NA
1227,NA,NA,NA,Reck,Tm7sf3,NA
1228,NA,NA,NA,Reep5,Tmbim1,NA
1229,NA,NA,NA,Reep6,Tmc4,NA
1230,NA,NA,NA,Rem1,Tmc5,NA
1231,NA,NA,NA,Rem2,Tmem119,NA
1232,NA,NA,NA,Rfx5,Tmem120a,NA
1233,NA,NA,NA,Rgcc,Tmem151a,NA
1234,NA,NA,NA,RGD1304810,Tmem154,NA
1235,NA,NA,NA,RGD1305110,Tmem171,NA
1236,NA,NA,NA,RGD1305464,Tmem179,NA
1237,NA,NA,NA,RGD1305928,Tmem184a,NA
1238,NA,NA,NA,RGD1306058,Tmem184b,NA
1239,NA,NA,NA,RGD1306151,Tmem237,NA
1240,NA,NA,NA,RGD1307315,Tmem67,NA
1241,NA,NA,NA,RGD1308117,Tmem72,NA
1242,NA,NA,NA,RGD1311739,Tmsb10,NA
1243,NA,NA,NA,RGD1311946,Tnc,NA
1244,NA,NA,NA,RGD1359127,Tnf,NA
1245,NA,NA,NA,RGD1559482,Tnfaip2,NA
1246,NA,NA,NA,RGD1560010,Tnfaip6,NA
1247,NA,NA,NA,RGD1560108,Tnfaip8,NA
1248,NA,NA,NA,RGD1561149,Tnfrsf12a,NA
1249,NA,NA,NA,RGD1561161,Tnfrsf21,NA
1250,NA,NA,NA,RGD1561849,Tnfrsf9,NA
1251,NA,NA,NA,RGD1562079,Tnk1,NA
1252,NA,NA,NA,RGD1562136,Tnnt2,NA
1253,NA,NA,NA,RGD1563072,Tns3,NA
1254,NA,NA,NA,RGD1564450,Tns4,NA
1255,NA,NA,NA,RGD1564664,Tnxa-ps1,NA
1256,NA,NA,NA,RGD1565355,Tox,NA
1257,NA,NA,NA,Rgma,Tp53,NA
1258,NA,NA,NA,Rgs1,Tpbg,NA
1259,NA,NA,NA,Rgs19,Tpd52l1,NA
1260,NA,NA,NA,Rgs2,Tpm1,NA
1261,NA,NA,NA,Rgs4,Tpm2,NA
1262,NA,NA,NA,Rgs5,Tpm4,NA
1263,NA,NA,NA,Rhbdf1,Tppp3,NA
1264,NA,NA,NA,Rhbdf2,Traf3,NA
1265,NA,NA,NA,Rhob,Trak2,NA
1266,NA,NA,NA,Rhoc,Trem1,NA
1267,NA,NA,NA,Rhoq,Trem3,NA
1268,NA,NA,NA,Rims2,Tril,NA
1269,NA,NA,NA,Rin1,Trim24,NA
1270,NA,NA,NA,Rinl,Trim35,NA
1271,NA,NA,NA,Ripk2,Trim46,NA
1272,NA,NA,NA,Ripk3,Trim47,NA
1273,NA,NA,NA,Rmnd5b,Trip6,NA
1274,NA,NA,NA,Rnd1,Trmt6,NA
1275,NA,NA,NA,Rnf11l1,Trpc6,NA
1276,NA,NA,NA,Rnf19b,Trpm4,NA
1277,NA,NA,NA,Rnf4,Trpv2,NA
1278,NA,NA,NA,Rnf8,Tsc22d1,NA
1279,NA,NA,NA,Robo4,Tsc22d4,NA
1280,NA,NA,NA,Ropn1,Tshz3,NA
1281,NA,NA,NA,Rp1,Tspan11,NA
1282,NA,NA,NA,Rph3al,Tspan17,NA
1283,NA,NA,NA,Rpia,Tspan2,NA
1284,NA,NA,NA,Rpp38,Tspan8,NA
1285,NA,NA,NA,Rprm,Tspan9,NA
1286,NA,NA,NA,Rps6ka2,Tspo,NA
1287,NA,NA,NA,Rps6ka3,Tsx,NA
1288,NA,NA,NA,Rras,Ttbk1,NA
1289,NA,NA,NA,Rsad1,Ttc12,NA
1290,NA,NA,NA,RT1-A3,Ttc26,NA
1291,NA,NA,NA,RT1-Bb,Ttc39a,NA
1292,NA,NA,NA,RT1-CE14,Ttc8,NA
1293,NA,NA,NA,RT1-CE4,Ttc9,NA
1294,NA,NA,NA,RT1-M4,Ttll10,NA
1295,NA,NA,NA,Rtkn,Tuba1a,NA
1296,NA,NA,NA,Rtn4,Tuba1b,NA
1297,NA,NA,NA,Runx1,Tubb2a,NA
1298,NA,NA,NA,S100a10,Tubb2b,NA
1299,NA,NA,NA,S100a11,Tubb4b,NA
1300,NA,NA,NA,S100a16,Tubb6,NA
1301,NA,NA,NA,S100a4,Tuft1,NA
1302,NA,NA,NA,S100a6,Tusc3,NA
1303,NA,NA,NA,S100a8,Txndc5,NA
1304,NA,NA,NA,S100a9,Ube3d,NA
1305,NA,NA,NA,S1pr2,Uck2,NA
1306,NA,NA,NA,S1pr5,Ugcg,NA
1307,NA,NA,NA,Samd10,Ugt1a2,NA
1308,NA,NA,NA,Samd4a,Ugt1a9,NA
1309,NA,NA,NA,Samsn1,Uhrf1,NA
1310,NA,NA,NA,Sapcd2,Unc13b,NA
1311,NA,NA,NA,Sarm1,Unc5b,NA
1312,NA,NA,NA,Sat1,Unc5cl,NA
1313,NA,NA,NA,Scamp5,Urm1,NA
1314,NA,NA,NA,Scara5,Usp13,NA
1315,NA,NA,NA,Scd1,Usp43,NA
1316,NA,NA,NA,Scd2,Usp54,NA
1317,NA,NA,NA,Schip1,Utp18,NA
1318,NA,NA,NA,Scn5a,Vamp1,NA
1319,NA,NA,NA,Sctr,Vars,NA
1320,NA,NA,NA,Sdad1,Vcan,NA
1321,NA,NA,NA,Sdc1,Vil1,NA
1322,NA,NA,NA,Sdc4,Vim,NA
1323,NA,NA,NA,Sdcbp,Vipr2,NA
1324,NA,NA,NA,Sdcbp2,Vldlr,NA
1325,NA,NA,NA,Sdr16c6,Vnn1,NA
1326,NA,NA,NA,Sec14l1,Vopp1,NA
1327,NA,NA,NA,Sec22b,Vps36,NA
1328,NA,NA,NA,Selm,Vsig10,NA
1329,NA,NA,NA,Sema3b,Vsx1,NA
1330,NA,NA,NA,Sema3c,Vtcn1,NA
1331,NA,NA,NA,Sema4d,Vwa7,NA
1332,NA,NA,NA,Sema6b,Vwf,NA
1333,NA,NA,NA,Sep-11,Wars,NA
1334,NA,NA,NA,Sep-05,Wbp5,NA
1335,NA,NA,NA,Serinc2,Wbscr17,NA
1336,NA,NA,NA,Serpina3n,Wdr1,NA
1337,NA,NA,NA,Serpinb5,Wdr35l,NA
1338,NA,NA,NA,Serpinb8,Wdr4,NA
1339,NA,NA,NA,Serpinb9,Wfdc21,NA
1340,NA,NA,NA,Serpine1,Wisp2,NA
1341,NA,NA,NA,Serpinh1,Wnk2,NA
1342,NA,NA,NA,Sertad1,Wnt5a,NA
1343,NA,NA,NA,Sesn3,Wnt7a,NA
1344,NA,NA,NA,Setd8,Wt1,NA
1345,NA,NA,NA,Sfrp1,Xirp2,NA
1346,NA,NA,NA,Sfxn3,Yars,NA
1347,NA,NA,NA,Sfxn4,Ypel4,NA
1348,NA,NA,NA,Sgcb,Ywhah,NA
1349,NA,NA,NA,Sgcg,Zc2hc1a,NA
1350,NA,NA,NA,Sgms2,Zc3h12a,NA
1351,NA,NA,NA,Sh3bgrl2,Zc3h12d,NA
1352,NA,NA,NA,Sh3bgrl3,Zdhhc2,NA
1353,NA,NA,NA,Sh3bp4,Zfand2a,NA
1354,NA,NA,NA,Sh3yl1,Zfp202,NA
1355,NA,NA,NA,Shank3,Zfp287,NA
1356,NA,NA,NA,Shtn1,Zfp367,NA
1357,NA,NA,NA,Sipa1l3,Zfp385d,NA
1358,NA,NA,NA,Sirpa,Zfp39,NA
1359,NA,NA,NA,Sla,Zfp521,NA
1360,NA,NA,NA,Slamf6,Zfp579,NA
1361,NA,NA,NA,Slamf9,Zfp90,NA
1362,NA,NA,NA,Slc10a2,Zfpm2,NA
1363,NA,NA,NA,Slc10a3,Zmat3,NA
1364,NA,NA,NA,Slc12a8,Zwint,NA
1365,NA,NA,NA,Slc15a3,Zyx,NA
1366,NA,NA,NA,Slc16a1,NA,NA
1367,NA,NA,NA,Slc16a3,NA,NA
1368,NA,NA,NA,Slc1a5,NA,NA
1369,NA,NA,NA,Slc20a1,NA,NA
1370,NA,NA,NA,Slc23a3,NA,NA
1371,NA,NA,NA,Slc24a4,NA,NA
1372,NA,NA,NA,Slc25a24,NA,NA
1373,NA,NA,NA,Slc25a4,NA,NA
1374,NA,NA,NA,Slc25a47,NA,NA
1375,NA,NA,NA,Slc28a2,NA,NA
1376,NA,NA,NA,Slc34a2,NA,NA
1377,NA,NA,NA,Slc36a2,NA,NA
1378,NA,NA,NA,Slc36a4,NA,NA
1379,NA,NA,NA,Slc37a2,NA,NA
1380,NA,NA,NA,Slc39a10,NA,NA
1381,NA,NA,NA,Slc39a6,NA,NA
1382,NA,NA,NA,Slc4a4,NA,NA
1383,NA,NA,NA,Slc4a5,NA,NA
1384,NA,NA,NA,Slc5a9,NA,NA
1385,NA,NA,NA,Slc6a6,NA,NA
1386,NA,NA,NA,Slc6a8,NA,NA
1387,NA,NA,NA,Slc7a1,NA,NA
1388,NA,NA,NA,Slc7a11,NA,NA
1389,NA,NA,NA,Slc7a15,NA,NA
1390,NA,NA,NA,Slc7a5,NA,NA
1391,NA,NA,NA,Slc7a6,NA,NA
1392,NA,NA,NA,Slc7a8,NA,NA
1393,NA,NA,NA,Slfn2,NA,NA
1394,NA,NA,NA,Slx4ip,NA,NA
1395,NA,NA,NA,Smim3,NA,NA
1396,NA,NA,NA,Smoc2,NA,NA
1397,NA,NA,NA,Smox,NA,NA
1398,NA,NA,NA,Smpd3,NA,NA
1399,NA,NA,NA,Smtnl2,NA,NA
1400,NA,NA,NA,Smyd5,NA,NA
1401,NA,NA,NA,Snai1,NA,NA
1402,NA,NA,NA,Snrpd1,NA,NA
1403,NA,NA,NA,Sntb1,NA,NA
1404,NA,NA,NA,Snx12,NA,NA
1405,NA,NA,NA,Snx7,NA,NA
1406,NA,NA,NA,Soat1,NA,NA
1407,NA,NA,NA,Sod2,NA,NA
1408,NA,NA,NA,Sorcs1,NA,NA
1409,NA,NA,NA,Sorcs2,NA,NA
1410,NA,NA,NA,Sowahc,NA,NA
1411,NA,NA,NA,Sox4,NA,NA
1412,NA,NA,NA,Sox9,NA,NA
1413,NA,NA,NA,Sp110,NA,NA
1414,NA,NA,NA,Sp140,NA,NA
1415,NA,NA,NA,Spag9,NA,NA
1416,NA,NA,NA,Sparc,NA,NA
1417,NA,NA,NA,Sparcl1,NA,NA
1418,NA,NA,NA,Spata2L,NA,NA
1419,NA,NA,NA,Spats2,NA,NA
1420,NA,NA,NA,Spats2l,NA,NA
1421,NA,NA,NA,Specc1,NA,NA
1422,NA,NA,NA,Spef1,NA,NA
1423,NA,NA,NA,Sphk1,NA,NA
1424,NA,NA,NA,Spink3,NA,NA
1425,NA,NA,NA,Spn,NA,NA
1426,NA,NA,NA,Spp1,NA,NA
1427,NA,NA,NA,Spryd3,NA,NA
1428,NA,NA,NA,Spsb1,NA,NA
1429,NA,NA,NA,Spsb4,NA,NA
1430,NA,NA,NA,Sptan1,NA,NA
1431,NA,NA,NA,Sptbn1,NA,NA
1432,NA,NA,NA,Sptlc2,NA,NA
1433,NA,NA,NA,Sqstm1,NA,NA
1434,NA,NA,NA,Src,NA,NA
1435,NA,NA,NA,Srd5a3,NA,NA
1436,NA,NA,NA,Srf,NA,NA
1437,NA,NA,NA,Sri,NA,NA
1438,NA,NA,NA,Srms,NA,NA
1439,NA,NA,NA,Srpx2,NA,NA
1440,NA,NA,NA,Srxn1,NA,NA
1441,NA,NA,NA,Ss18,NA,NA
1442,NA,NA,NA,Ssbp4,NA,NA
1443,NA,NA,NA,Ssc5d,NA,NA
1444,NA,NA,NA,Sstr3,NA,NA
1445,NA,NA,NA,St3gal2,NA,NA
1446,NA,NA,NA,St3gal4,NA,NA
1447,NA,NA,NA,St3gal5,NA,NA
1448,NA,NA,NA,St6galnac2,NA,NA
1449,NA,NA,NA,Stac2,NA,NA
1450,NA,NA,NA,Stap1,NA,NA
1451,NA,NA,NA,Stat3,NA,NA
1452,NA,NA,NA,Steap1,NA,NA
1453,NA,NA,NA,Steap2,NA,NA
1454,NA,NA,NA,Steap4,NA,NA
1455,NA,NA,NA,Stk40,NA,NA
1456,NA,NA,NA,Stom,NA,NA
1457,NA,NA,NA,Stoml1,NA,NA
1458,NA,NA,NA,Ston1,NA,NA
1459,NA,NA,NA,Stxbp1,NA,NA
1460,NA,NA,NA,Sulf1,NA,NA
1461,NA,NA,NA,Sult2a2,NA,NA
1462,NA,NA,NA,Sult2a6,NA,NA
1463,NA,NA,NA,Sult4a1,NA,NA
1464,NA,NA,NA,Svil,NA,NA
1465,NA,NA,NA,Syde1,NA,NA
1466,NA,NA,NA,Syn3,NA,NA
1467,NA,NA,NA,Syne4,NA,NA
1468,NA,NA,NA,Synj2,NA,NA
1469,NA,NA,NA,Synpo,NA,NA
1470,NA,NA,NA,Syt1,NA,NA
1471,NA,NA,NA,Sytl4,NA,NA
1472,NA,NA,NA,Tacc1,NA,NA
1473,NA,NA,NA,Tacc2,NA,NA
1474,NA,NA,NA,Tacr3,NA,NA
1475,NA,NA,NA,Tagln,NA,NA
1476,NA,NA,NA,Tagln2,NA,NA
1477,NA,NA,NA,Tap1,NA,NA
1478,NA,NA,NA,Tapbp,NA,NA
1479,NA,NA,NA,Tax1bp3,NA,NA
1480,NA,NA,NA,Tbc1d19,NA,NA
1481,NA,NA,NA,Tbc1d2,NA,NA
1482,NA,NA,NA,Tbcel,NA,NA
1483,NA,NA,NA,Tbx1,NA,NA
1484,NA,NA,NA,Tbx4,NA,NA
1485,NA,NA,NA,Tcf4,NA,NA
1486,NA,NA,NA,Tead2,NA,NA
1487,NA,NA,NA,Tes,NA,NA
1488,NA,NA,NA,Tex36,NA,NA
1489,NA,NA,NA,Tfcp2l1,NA,NA
1490,NA,NA,NA,Tfpi,NA,NA
1491,NA,NA,NA,Tfpi2,NA,NA
1492,NA,NA,NA,Tgfa,NA,NA
1493,NA,NA,NA,Tgfb1i1,NA,NA
1494,NA,NA,NA,Tgfb3,NA,NA
1495,NA,NA,NA,Tgif1,NA,NA
1496,NA,NA,NA,Tgm2,NA,NA
1497,NA,NA,NA,Thbd,NA,NA
1498,NA,NA,NA,Thbs1,NA,NA
1499,NA,NA,NA,Thbs2,NA,NA
1500,NA,NA,NA,Thbs4,NA,NA
1501,NA,NA,NA,Them4,NA,NA
1502,NA,NA,NA,Them5,NA,NA
1503,NA,NA,NA,Them6,NA,NA
1504,NA,NA,NA,Thg1l,NA,NA
1505,NA,NA,NA,Thnsl1,NA,NA
1506,NA,NA,NA,Thsd1,NA,NA
1507,NA,NA,NA,Thy1,NA,NA
1508,NA,NA,NA,Tiam1,NA,NA
1509,NA,NA,NA,Tigar,NA,NA
1510,NA,NA,NA,Timp1,NA,NA
1511,NA,NA,NA,Timp2,NA,NA
1512,NA,NA,NA,Timp3,NA,NA
1513,NA,NA,NA,Tjp2,NA,NA
1514,NA,NA,NA,Tjp3,NA,NA
1515,NA,NA,NA,Tk1,NA,NA
1516,NA,NA,NA,Tkt,NA,NA
1517,NA,NA,NA,Tm4sf19,NA,NA
