,NASH_up,diff_w4_up,diff_w8_up,diff_w16_up,diff_w32_up,diff_w48_up
111,NA,Mgat4b,Inhba,Arhgef28,Atp6v1b2,Orm1
112,NA,Mgll,Inhbe,Arhgef9,Atp6v1d,Otub2
113,NA,Mgst3,Iyd,Arid3a,B3galnt1,P2rx5
114,NA,Micu3,Jade2,Arid5a,B3galt5,P2ry2
115,NA,Mid1ip1,Jakmip2,Arl10,B4galnt4,Pak1
116,NA,Mir22,Jund,Arl11,B4galt1,Parvb
117,NA,Mocos,Kank1,Arl4a,B4galt4,Pcolce
118,NA,Mxd4,Kank2,Arl4c,B4galt6,Pcsk6
119,NA,Mycl,Kcnn2,Arl4d,Basp1,Pdlim4
120,NA,Nabp1,Kifc3,Arl6,Bbs7,Perp
121,NA,Nav2,Krt23,Arl8a,Bcam,Pgd
122,NA,Ntf3,Lamb3,Armc6,Bcar3,Phactr2
123,NA,Obp1f,Leap2,Armcx2,Bcat1,Plbd1
124,NA,Olr59,Lhx8,Arntl,Bcl11b,Plxna2
125,NA,Oplah,Lilrb4,Arrdc1,Bcl2,Ppp2r1b
126,NA,Ormdl3,Lin37,Arrdc4,Bcl2a1,Prg4
127,NA,Otub2,Lnx2,Arse,Bdkrb2,Prlr
128,NA,P2rx5,LOC100361444,Asah2,Bdnf,Prss32
129,NA,P2ry1,LOC100363193,Asb5,Bend5,Psat1
130,NA,Paqr7,LOC498836,Asns,Bgn,Psen2
131,NA,Pdgfa,LOC691083,Aspm,Bhlhb9,Ptk2b
132,NA,Per2,Lonrf3,Atcay,Bhlhe22,Ptk6
133,NA,Perp,Lpar6,Atf3,Bicc1,Rab38
134,NA,Pgm1,Lrrc19,Atf4,Bicd1,Rarb
135,NA,Pnliprp2,Lrtm2,Atic,Birc3,Rassf6
136,NA,Ppp1r10,Mbp,Atp10a,Bmp4,Reep6
137,NA,Ppp1r3b,Mcf2l,Atp1a3,Bmp7,Rfx6
138,NA,Prss32,Med12l,Atp2b4,Bmx,RGD1304694
139,NA,Prtg,Megf9,Aurkb,Bnc2,RGD1304810
140,NA,Ptms,Mgmt,B3galnt1,Bok,RGD1305464
141,NA,Ptprn,Mical2,B3gnt2,Bscl2,RGD1309079
142,NA,Ptprs,Micalcl,B4galt5,Bspry,RGD1311739
143,NA,Qdpr,Mid1ip1,B4galt6,Btg3,RGD1565355
144,NA,Rab40b,Mif,Basp1,C2cd5,Rnf11l1
145,NA,Rcan1,Mk1,Batf,C5ar1,Rnpepl1
146,NA,Reep6,Mocos,Bbs7,Cacna1c,Rp1
147,NA,RGD1309534,Mok,Bcat1,Cacna2d1,Rpa1
148,NA,RGD1309676,Msl3l2,Bcl10,Cadm1,Rpia
149,NA,Rhob,Mybl1,Bcl2,Cadps,S100a8
150,NA,Rhobtb1,Mybl2,Bcl2a1,Camk2d,S100a9
151,NA,Ripk4,Mybph,Bgn,Camk2g,Scd2
152,NA,Rnf181,Mycl,Bicc1,Camkk2,Secisbp2l
153,NA,Sardh,Nme1,Bicd2,Cand2,Sgk2
154,NA,Scd1,Nrg1,Bin1,Cap2,Slc39a4
155,NA,Sgcb,Nuak1,Birc3,Capg,Slc7a5
156,NA,Shroom3,Nudt7,Birc5,Capn2,Slco3a1
157,NA,Slc10a2,Nup62,Blnk,Capn5,Smtnl2
158,NA,Slc13a4,Olr57,Bmp7,Car12,Sntb1
159,NA,Slc16a13,Otub2,Bmper,Car13,Snx12
160,NA,Slc22a4,P2rx5,Bok,Car2,Sorcs2
161,NA,Slc25a10,Pak1,Bst1,Card10,Spsb4
162,NA,Slc2a5,Paqr3,Btbd10,Cars,Srd5a1
163,NA,Slc35d1,Parp16,Btbd3,Casc4,Stx2
164,NA,Slc39a4,Pax8,Btc,Casp3,Stxbp1
165,NA,Slc41a2,Pbk,Btg1,Cass4,Sult2a6
166,NA,Slco2a1,Perp,Btg2,Cav1,Sult4a1
167,NA,Spink1,Pex11a,Btg3,Cbr1,Svil
168,NA,Spink3,Pgam1,Bub1b,Cbx3,Synj2
169,NA,Spry4,Pgd,Bysl,Ccdc120,Tcirg1
170,NA,Sri,Pgk1,C1qtnf5,Ccdc146,Tfpi
171,NA,St8sia3,Pgpep1,C1qtnf6,Cchcr1,Tjp3
172,NA,Stk40,Pir,C2cd5,Ccl12,Tlr1
173,NA,Stx2,Plbd1,C5ar1,Ccl2,Tm6sf2
174,NA,Sult1a1,Plin2,Cab39,Ccl21,Tm7sf3
175,NA,Sult1b1,Plin5,Cables1,Ccl3,Tmcc3
176,NA,Tas1r1,Plxna2,Cacna1c,Ccl4,Tmem140
177,NA,Tcea3,Pnpla5,Cacnb1,Ccl7,Tmem170a
178,NA,Tecr,Pnrc1,Camk2d,Ccne1,Tmem176a
179,NA,Thnsl2,Ppp1r3b,Capg,Ccng1,Tmem176b
180,NA,Thrsp,Ppp2r1b,Capn1,Ccr1,Tmem179
181,NA,Tjp3,Prkca,Capn2,Cd2,Tmem252
182,NA,Tmem110,Prkci,Car13,Cd200,Tmem97
183,NA,Tmem25,Psat1,Car2,Cd24,Tmie
184,NA,Trpv6,Ptk2b,Card10,Cd276,Tnfrsf1b
185,NA,Tsc22d1,Ptprt,Cars,Cd34,Tnfrsf9
186,NA,Tsku,Ralyl,Casc5,Cd36,Trim24
187,NA,Ttc21b,Reep6,Casp4,Cd3d,Tspan14
188,NA,Ttc36,RGD1305464,Cass4,Cd3e,Tspo
189,NA,Ttll3,RGD1306151,Cbfa2t3,Cd40,Ttc39a
190,NA,Ugt2b17,RGD1309676,Cblc,Cd44,Tubb2a
191,NA,Vangl1,RGD1311756,Ccdc112,Cd5,Tubb2b
192,NA,Vwce,RGD1560010,Ccdc120,Cd55,Ulk1
193,NA,Wdr6,RGD1561849,Ccdc19,Cd6,Vsig10
194,NA,Wfdc21,RGD1562136,Ccdc64,Cd83,Wdr91
195,NA,NA,RGD1565355,Ccdc68,Cd9,Wfdc21
196,NA,NA,RGD1565616,Ccdc8,Cdc14a,Ypel2
197,NA,NA,Rgs16,Ccdc92,Cdc25a,Zfp385a
198,NA,NA,Rgs7,Cchcr1,Cdc42ep1,NA
199,NA,NA,Rhob,Ccl12,Cdc42ep5,NA
200,NA,NA,Rnf11l1,Ccl2,Cdc42se1,NA
201,NA,NA,Rp1,Ccl21,Cdc42se2,NA
202,NA,NA,Rpa1,Ccl3,Cdc6,NA
203,NA,NA,Rrm2b,Ccl4,Cdcp1,NA
204,NA,NA,Rtn4,Ccl7,Cdh11,NA
205,NA,NA,Scd1,Ccna2,Cdh13,NA
206,NA,NA,Scly,Ccne1,Cdh3,NA
207,NA,NA,Sdr16c6,Ccng1,Cdh6,NA
208,NA,NA,Sesn3,Ccr1,Cdk14,NA
209,NA,NA,Sh3bgrl2,Ccrl2,Cdkl2,NA
210,NA,NA,Slc17a3,Cd14,Cdkn2b,NA
211,NA,NA,Slc25a47,Cd151,Cdt1,NA
212,NA,NA,Slc39a4,Cd200,Ceacam20,NA
213,NA,NA,Slc45a3,Cd24,Cel,NA
214,NA,NA,Sntb1,Cd276,Cela1,NA
