,CM1,CM2,CM3,WT1,WT2,WT3
ABCG1,7.75006629605514,7.13669738269217,6.99643889584673,6.80857529664512,6.74609316440995,7.38541051845047
ABCG2,11.1129856247795,10.8883300745033,11.0010305567786,11.0822670147719,11.6427114490293,10.6198833925149
ABCG4,0,1.01960431466402,2.53120547989888,1.80206769594259,0.90986771969994,0
ABCG5,11.3179058013459,11.3737628521652,11.0732280815237,10.6976532410374,10.1834745958831,10.2413825837345
ABCG8,12.3871660839931,12.3412915192104,12.083261392586,11.1432950013245,10.5745615120031,9.81717193301421
ABHD1,4.50917016833856,4.84492775397232,5.42054193647077,4.54749728874925,4.46551463580219,5.3358503621495
ABHD10,11.0085298734687,10.8741856869933,10.4615465592835,10.5822484118359,10.7334378528612,10.6920314198122
ABHD11,6.17081636355441,6.49794070698402,6.83968175166494,6.66273144224862,6.81527951515347,7.60775447030747
ABHD12,8.2125537002106,8.16292938203923,8.12034987133476,8.11846296560879,8.58896791277302,8.20910594662793
ABHD12B,6.19358208363212,5.99252222216837,6.48284956709439,6.17591646739351,5.40282588753419,5.69810828483864
ABHD13,8.5925143971745,8.25798537250499,8.15100274363079,8.61588313679902,8.32602426685468,8.62175181563179
ABHD14B,10.9809854444911,10.7634369434031,10.7337559446534,10.1167204124654,10.2179508369386,9.83397356047182
ABHD15,8.52231192734772,9.01328399665104,8.77223115078246,8.55039492981122,8.49017006326504,8.549609414826
ABHD16A,9.57555728774789,9.45463130846847,9.52825687119651,9.60485612719272,9.42131217327868,9.7202720836804
ABHD16B,4.35613980639733,4.84492775397232,4.77045889912318,4.82574301921005,5.10421848200787,5.03132622587386
ABHD17A,8.49507955580981,8.36974334159542,8.52787556077623,8.62196781999624,8.52156169867076,8.84009694460656
ABHD17B,8.6757204236029,8.57411760211678,8.49001193781787,8.57882606613006,8.28189408387898,8.6287715442468
ABHD17C,5.92090561285461,5.71061751740955,4.63823166848772,5.37935101667266,5.67513205185695,5.6437025258442
ABHD18,8.76202407180413,8.62756062756027,8.446192686042,8.14405799570602,8.32996996354991,9.05075912717705
ABHD2,12.0101848936972,12.7975798924752,12.5174585567633,12.595137867141,12.4490228773544,12.2004113314959
ABHD3,7.85375668057547,7.98715745727516,8.47070083630787,8.74415373607404,8.39920717005447,8.70381498503394
ABHD4,8.6957931551187,8.44397391128794,8.76035172912815,8.46496573309223,8.91999628983847,8.33032124146074
ABHD5,8.78843586203085,8.5306921569269,8.39076285035891,9.35564335426298,8.85576336248335,8.95904997889699
ABHD6,8.3147349743167,8.32884187886104,8.59183594632893,8.28493776792235,8.65021234057223,8.74315999212493
ABHD8,5.47713985478902,5.52994475871952,5.80674333962769,5.59265840590035,5.81683039340958,5.36976502967579
ABI1,9.69803855204637,9.60875084863457,9.56286456729014,9.55484469372623,9.50745404193335,9.72846420098636
ABI2,8.48588665718,8.73929314798682,9.4014170582752,8.7772441318192,8.88555886124536,8.69045786770516
ABI3,4.64751364076999,5.03774452441881,4.8915780816478,4.69331777446206,5.49004573804676,4.52954847057169
ABI3BP,10.4583999942283,10.5575727628136,10.3901074936959,10.7699889940265,10.4422981077866,9.88029721938377
ABL1,7.76534334328641,8.06670456767738,7.84841107392743,7.77507842785539,7.82572468817325,7.63589989086648
ABL2,8.41984199778956,8.58573751622608,8.62715063327752,8.25000455842405,7.53576818556326,8.00304477304037
ABLIM1,10.5080585244092,10.9821736810455,10.4430870839505,10.5061606469735,10.4559030816571,10.4370242067595
ABLIM2,0,2.8408009920892,1.76140120423524,3.45269905249375,1.46348981192102,2.94948997480515
ABLIM3,9.59919542593033,10.0161876032998,10.3965175636003,9.15415723480592,9.42500600499718,9.66158656721808
ABO,2.97733012980098,4.49662977778599,4.41395387085065,5.73419824073505,3.73381257196417,5.07309683960539
ABR,6.58658398684489,7.31482228204929,7.18598030677835,7.52531315377007,7.59599018489844,7.0820977789265
ABRA,6.10028096650978,6.01561567686025,6.03424555220237,5.80007997987518,5.57229187210838,6.2096809055013
ABRACL,4.57999953033777,5.03774452441881,4.24237714156009,4.738823564679,5.40282588753419,4.98831006783992
ABRAXAS1,8.39550221721739,8.34260494567592,8.15705593228274,8.18573245021892,8.26137980377386,8.36856409979363
ABRAXAS2,8.97411341715791,8.96367923818363,8.85648066311592,9.0292381256383,8.96889386466187,9.30853938127483
ABT1,7.41439005806838,7.01592073250953,6.69740845955205,7.2780422704997,7.41466435866484,7.56447923006707
ABTB1,7.67115595247861,7.76668499417433,7.51302248893038,7.5122691702192,7.18996369155111,7.67032666142579
ABTB2,9.76416879272714,10.0515331412415,9.98821693212655,10.0255635907575,9.88000162502109,10.0055779679977
ACA59,1.10156873537799,2.02930746986762,1.76140120423524,2.10978247788331,0.90986771969994,1.54664005014216
ACA64,4.27307302875508,2.61748990727778,3.55535308086435,3.91591416856653,4.2154816951729,4.40424085981234
ACAA1,12.1473286809797,12.610692132091,12.2787924433201,12.5543589379658,11.9958536841978,12.1977585272363
ACAA2,13.276584822616,13.4717451816727,13.512474652311,13.4417847535209,13.8149713385656,13.0872703085495
ACACA,10.3712215148906,10.3909598264113,10.8717346619221,9.16669874058,9.50571089392755,9.85208216571519
ACACB,13.7486281909666,13.6680716714533,13.8360001932876,12.9749928210693,12.9364155095815,12.702024398609
ACAD10,10.8509768090468,10.7617305945769,11.1165830541938,9.37017567376251,10.2275006615924,10.349438947755
ACAD11,13.468190956349,13.1932850457716,12.8439765510008,13.0627422129424,13.1900067439833,12.9591171733051
