HO_up	HO_down	NAFLD_up	NAFLD_down	NASH_up	NASH_down	HF12_up	HF12_down	HF18_up	HF18_down	STZ12_up	STZ12_down	STZ18_up	STZ18_down	MCD4_up	MCD4_down	MCD8_up	MCD8_down	Pten_up	Pten_down	HF30_up	HF30_down	WTD_up	WTD_down
				CAMK1D		Tmem259	Hmgn5							Cfp	Sdhb	Rpl31	Cat			Bhlhb9	Ttc36	Mfge8	
				PRKAA2		1810055G02Rik	Cth							Wbp5	C1s1	Vimp	C1s1			Cidec	Hgfac	Apoa4	
				FABP4		Ephx1	Cyp2c70							Bhlhe40	Ppp1r3c	Fcgr3	Ppp1r3c			Plin4	Slc25a45	Spon2	
				FASN		Aldh3a2	Arg1							Rab8b	Ebp	Rdh9	Slc2a2			Cd74	Aspdh	Tmem86a	
				DPYSL2		Fam102a	Dhrs7							Slc15a3	Sardh	Atp6v0e	Ebp			Unc5b	Tmem25	Serinc2	
				PCSK5		Inhbe	Cml1							Vcam1	Pcca	Rpl34	Sardh			Tmem43	Aspg	Rps6ka1	
				CYTIP		G0s2	Churc1							Cxcl1	Pls3	Ear4	Cs			Scara3	Srsf2	Clstn3	
				SCUBE1		Acaa1a	Insig1							Tmsb4x	Iah1	Tmed10	Pcca			Col1a1	Gpr137	Saa1	
				ZDHHC2		Slc6a9	Aldh1l1							App	Serpinc1	Spg21	Pck1			Tmem45b	Nlrp6	Olig1	
				ADSSL1		Phlda1	Tm2d2							Steap2	Lman1	Asns	Iah1			Rnf11	Fetub	Ldha	
				ANKRD36		Dbp	Bzw1							Fcgr4	Bst2	Haus8	Serpinc1			Endod1	Vegfa	Cyp4a31	
				GINS2		Gpc1	Ugt1a2							Matr3	Tmem242	Sypl	Bst2			Cx3cr1	Dusp11	Cotl1	
				TP53I3			Nostrin							Raet1b	Ndufb2	Appl1	Urad			Ctnna1	Abcc6	Fitm1	
				CDC6			Acpp							Aig1	Sucnr1	Dusp6	Psen2			Ubd	Chka	Fitm2	
				LOC100131131			St3gal1							Col4a1	Urad	Sec61g	Acot13			Mfsd7c	Hamp	Dcakd	
				OCR1			Gsta4							Serpina6	Psen2	Rap1gap2	Dct			Cstb	Gckr	Wfdc2	
				LOC642947			Nqo2							Htatip2	Dct	Qpct	Tsc22d3			Osbpl3	Hgsnat	Retsat	
				LRRC31			Pdlim1							Zpr1	Tsc22d3	Psat1	Pcbd1			Osbpl9	Nat6	Slc17a8	
				RAPGEFL1			Adprm							Alox5ap	Pcbd1	Mat2a	Baat			Dio1	Sugp2	Decr1	
				EPHA3			Nt5c							Tlr2	Baat	Hist1h2ad	Cml1			Acsm5	Akap8l	Hsd17b4	
				DOK6			Tec							Gpx7	Cml1	Rgs1	Dpyd			Adamtsl2	Vmo1	Mgll	
				HSD17B7P2			Derl2							Rpl35	Dpyd	Ccdc120	Aldh1l1			Emp1	Srrt	Hmgcs2	
				ISM1			Hspa5							Cytip	Aldh1l1	Cetn3	Acadsb			Timp2	Prodh2	Slc25a10	
				CHRNA4			Prkra							Laptm5	Acadsb	Tmprss2	Acat2			Gal3st1	Ccdc84	Acot1	
				STAB2			Commd1							Tuba8	Abca8a	Nans	Cnpy2			S100a11	Tle2	Paqr7	
				GRM8			Tyrobp							P2ry14	Ugt2b1	Enc1	Ugt2b1			Psap	Fam193b	Ephx1	
				ERV3-1			Pipox							Nudt18	Ehhadh	Timm8a1	St3gal1			Smpd3	Krtcap3		
				INHBE			Hacl1							Dynll1	Aco1	Cdkn1c	Khk			Sftpd	Scnn1a		
				CDHR2			Prodh							Nop58	Myo1b	Lum	Myo1b			Enpp5	Nrbp2		
				TMEM63A										Hist1h1c	Acat3	Abhd2	Acat3			Mmp2	Mum1		
				UGT2A3										Bicc1	Prdx5	Smim7	Nqo2			H2-Eb1	Scly		
				ME1										Iqgap1	Adh1	Gnpda2	Sds			Pla2g6	BC030499		
				ADCY10P1										Id1	Mttp	Fam49a	Mttp			Acads	Ccbl1		
				RGS2										Adam23	Pecr	Agpat9	Pecr			Ubb	Kmt2b		
				H2AFY2										AU022252	Ghr	Gpt2	H2-K1			Slc39a11	Josd2		
				NPNT										Mustn1	Tm7sf2	Atp6v1a	Ghr			Adamts2	Camta2		
				CXCR4										Nsmce1	Cyb5a	S100a8	Tm7sf2			Lima1			
				GOLGA8A										Usp18	Pgrmc1	Krt23	Azgp1			Slc6a8			
				SNORA16B										Rdh9	Azgp1	Sh3yl1	Pipox			Slc22a1			
				SLC29A4										Clec7a	Pipox	Tctex1d2	Cisd1			Rnf186			
				CACNA1H										Sgms1	Cisd1	Acer3	Tmie			Ttpa			
				IGSF9										Tmc7	Tmie	Hdc	Hist1h2bn			Klhl21			
				PROL1										Gldn	Idh1	Ugt2b35	Clpx			Csrp3			
				KAT2A										Tmed10	Mgst1	Fstl1	Efna1			Ly6d			
				LINC00893										Sqstm1	Hist1h2bn	Ctss	Gcgr			Ddit4l			
				PLIN1										Cstb	Clpx	Mrpl54	Hsd17b6			Col4a1			
				GOLM1										Trib3	Arhgap29	Tmem51	Grcc10			Loxl1			
				CAPN12										Spg21	Psenen	Atp6v1b2	Hnf4a			H2-DMb1			
				SQLE										Pde6c	Grcc10	Rps26	Ptgr2			Gm1821			
				SGCB										Klf6	Ei24	Mlkl	Insig2			Srd5a3			
				TMPRSS9										Serpina3g	Sar1b	Nckap1l	Paox			Arsa			
