,W4_WT3,W4_WT2,W4_WT1,W8_WT3,W8_WT2,W8_WT1,W16_WT3,W16_WT2,W16_WT1,W32_WT1,W32_WT2,W32_WT3,W48_WT1,W48_WT2,W48_WT3,W4_KO3,W4_KO2,W4_KO1,W8_KO3,W8_KO2,W8_KO1,W16_KO3,W16_KO2,W16_KO1,W32_KO2,W32_KO3,W48_KO1,W48_KO2,W48_KO3
Fat1,-1.12150016337651,-0.69430325089577,-1.10627778523683,-0.270489167922528,-0.314842718096934,0.345277863019464,-0.220991427385839,-0.0493196062598822,-0.804610265819784,-0.101646449882262,0.141437865347748,-0.339041619053436,0.255343470426324,-0.0469349797071539,0.704507878152982,-1.18761558646544,-1.01344480622122,-1.35155304391386,-0.378668226393856,-0.864924231566511,-0.335491223691269,1.4291117825621,1.78358644304669,2.97309456302888,0.797226347159363,1.8032596555936,-0.222371779490081,0.255322009129637,-0.0641415460875969
Gadd45a,-0.663923267160882,-0.115301710708293,-0.549767600277771,-0.328060309469,-0.0806525073172677,-0.356667827520973,-1.655799801285,-1.78348989912526,-1.94162684196421,0.186430135336192,0.3663205028512,-0.32509059031157,1.51417661946925,-1.27733031541937,-0.229054440488494,0.699997893565487,0.655702245253628,0.771379421785779,1.0616329671067,-0.655805827404907,-0.198566300609343,1.28876955672395,1.17932662314302,1.76668829039319,0.225692564366369,1.73751735461226,-0.572039775209977,-0.117977651702665,-0.602479508632008
Galnt18,0.113010254368952,0.0225013692774623,1.04162757445026,-0.102000429552374,0.131178851536434,-0.512979813979922,-1.26755609126703,-1.25913534010016,-0.971998576028271,-1.54047797825661,-0.378496123948141,-0.716108716738681,-0.258992014879349,-1.91748539008812,-0.314643778906264,1.34910901911638,1.29535692734984,1.57708404533293,-1.58238660708467,-0.582843174392338,0.214053229123101,1.16165511338514,0.938500709019829,0.765013208819125,-0.351001032807493,1.36636177338293,-0.165774576263893,0.974027077229833,0.972400491901096
Gria3,-0.523673012146684,-0.324835383351104,-0.00537734810489694,-0.828095031280065,-0.867907015562276,0.00316318030606957,-0.441456196287911,-0.228561098148441,-1.321814956204,-2.58167356817175,-1.77841265029999,-1.44325565475926,0.899053526214314,0.631482114014211,1.05201457666822,-0.0594409334580331,-0.396623875944573,1.06998652196879,0.0478014828568887,-0.546852356297544,0.564298376375016,0.956007323639362,0.539138164734493,0.873502621478032,1.2109393389151,0.793729567391158,0.0654409118252592,1.81060110133044,0.830820272299189
Kif12,0.244803686747027,-0.274252115655101,0.243925792895404,-0.331515923186387,-0.565890260583737,-1.29675183977662,-0.249454376760485,-0.598778926195662,-1.14055782146267,-1.04954846416697,-1.03287401089755,-0.831267162375328,-0.63903750154397,-0.751909481044848,-0.847242199314907,-0.132897521745784,0.111327591913797,0.193166221823298,-0.113355581262755,-0.0897818127606229,-0.124342425759054,1.50097877408829,0.549495835219013,3.0342144127445,1.91474536409977,1.83786879577113,0.620315200186951,0.144623324309343,-0.326007575306076
Lpl,-0.0852234555904864,0.159000879003787,0.356285894257378,-0.717541250469794,-0.606043631852432,-0.225448559787503,-0.150988812849657,-0.148431491920444,-0.882694866028236,0.189745320230272,-1.59341468523614,-1.26195935206676,-1.13164217135006,-1.15366009019806,-0.320406332509781,0.0662211246622661,-0.0952589990113629,0.303218600064144,-0.133182976268723,-1.12030380536635,-0.188541620847811,2.80672766210875,0.551327680503831,1.72502985133633,1.72935808810141,1.74473395752045,0.57328724792564,0.114011580288569,-0.504205784649207
Mmp9,0.734632653438449,-1.7308345471473,0.362527292625822,-0.727009376233445,-1.08935191105188,-0.619219785678326,-0.355342431527557,-1.12303837760865,-0.430659062659679,-1.31273853689082,0.553281157736516,-0.168171296204398,0.0456551087257829,-1.55390180416101,0.519344547269408,-0.390367633543939,-0.571025516044651,-1.01871556753918,0.603361582507947,-0.727981121225681,0.243050567783755,1.96415581228738,1.50982912333582,1.65630863407346,0.418636546929335,1.13260659536412,0.364093768117246,-0.0143510376409434,1.72522461496243
Mras,-0.231507539754762,-0.635454214508978,-0.476089485853364,0.942322609140666,-0.113503765137012,0.468937457564007,-2.06768524231177,-2.30179692793588,-0.399494837424599,-0.648801108191376,0.439389590623915,0.0150079856058584,-1.22637350879118,-0.0967394443122979,-0.397780575216866,1.11733966380157,0.780705397532098,0.855497554486523,1.79141009891526,1.50554154525337,1.1401193798469,1.29832036472697,0.145373862187749,0.24946568954372,-0.444957163295669,0.105699577404575,-0.265282526873802,-1.65840900354123,0.108744566515581
Msn,1.05840655974332,0.18313623185356,-0.458418205006964,-0.383419496650663,-1.73683722800674,-1.07760658757953,-1.02659093260391,-1.07364588345361,0.258249528120293,-0.153708127319089,-0.349353706799303,-0.147042762848788,0.0824465574866552,-0.454098030896732,0.260268011882698,-0.229382668156738,-0.575136134821989,-0.712451394582221,-0.0854283161922666,-1.86103058722909,-0.723043147077578,1.94287642300579,0.584757762437389,2.39092455644617,1.13079526915678,1.68452602736132,0.350970321502979,0.506803604219387,0.613032356008906
Pygb,1.05135245173798,0.124830614245033,-0.314260673019736,-0.0998136963566945,-0.599627256106962,-0.452041582610604,-0.943087296306338,-1.50102417611181,-0.233707921959792,-0.854024344846151,-0.433047531040359,-0.43607406637085,-0.25130285174026,-1.6478405694279,-0.278077955745456,1.25419868043061,-0.0409207732584463,0.221174253016469,0.00292569491197478,-0.874823524196356,-0.957960211536682,2.04493158365215,-1.24369037741651,2.01063064091433,0.75512928759543,1.77366772806879,1.17481793441024,-0.170621644027507,0.918287583095373
