genename advanced1 advanced2 advanced3 advanced4 regular1 regular2 regular3 regular4
1700006E09Rik 2.36852608238427 2.45075988413612 2.36372003322067 2.40765350206388 2.31531707641526 2.18394162915742 2.26847378064335 2.41411872639633
1700007E05Rik 2.19320011873312 2.00682973866685 2.20561236654811 2.5533467518405 2.16148829909671 1.76883719863375 2.53584320809069 1.87471395463571
1700007G11Rik 2.36149998019787 2.25423292102199 2.09896450448627 1.99291953287902 2.13663812668962 2.19233953069917 2.19075239183057 2.18898625485967
1700007K09Rik 3.15054079189273 3.27444815248441 2.95609794413056 3.21058496750104 3.21546559352404 3.25294681964442 3.18332742029834 3.1929440564996
1700007K13Rik 2.74504578757158 3.22233027499507 2.82569253338184 2.83562031817851 2.89163537156981 2.68672087955435 2.93423138509605 2.78398344471376
1700008J07Rik 3.95944454436028 4.22025646275841 4.19738834508045 4.30116338878209 4.66767268452638 3.88751776181229 4.25446661235687 4.03253181420824
1700008O03Rik 3.26067182349624 2.84799565271075 3.17845731486945 2.97472078085716 3.26707099662836 3.14074883760561 3.01248674134975 2.9048887021889
1700008P02Rik 1.69055319400521 1.91507019601744 1.85135452813669 1.78070139963834 1.62438781237265 1.89874893183809 1.69110516939802 1.91822297281215
1700009J07Rik 2.15151711989759 2.08910990310543 2.08102120940969 2.12011072172836 2.30366808581798 2.17701416373853 1.95831863757411 2.25178401576814
1700009N14Rik 2.00089255682525 2.05237938055736 1.91968867171194 1.89717872125819 2.04872403271301 2.22055420747878 2.07189663191373 2.1200507925871
1700010B08Rik 3.08210848943794 2.7884093212687 2.82930018313433 2.84839555460738 3.06270616516913 2.94139723382671 3.00157245991638 2.94620885857569
1700010D01Rik 2.43264829577758 2.33643788431119 2.42757203467634 2.36688116746899 2.42913129811702 2.37382226194004 2.65082474912382 2.40744099584612
1700010I14Rik 2.79065694718597 2.70417100586259 2.71719308474905 2.79733240483157 2.84524999336523 2.89314875171821 2.7551641185839 2.8825239177083
1700010L04Rik 3.34692980249425 3.18843101814989 3.08409156524749 3.31350667138013 3.41873141742425 3.36947728103435 3.47889295029697 3.31532836920112
1700011H14Rik 2.23275785227451 2.52767101381175 2.43882324704243 2.32158144195138 2.48480921594913 2.40427804410336 2.29584810863034 2.40849431433199
1700011I03Rik 2.34149849604209 2.31992671252713 2.16627083427704 2.34311581910239 2.36672518498714 2.50819934786499 2.45033585269194 2.63087543563944
1700011L22Rik 2.90540648333101 3.07503974677458 2.64085758439896 2.76138995741922 2.88859383769871 2.90748928864389 2.86921085330777 2.97745161963603
1700012A03Rik 2.44621492654917 2.46691062119992 2.40560994458281 2.32824330889863 2.47607666086161 2.8256415538763 2.47376866527892 2.51573862164286
1700012B07Rik 3.32025533627909 3.41714569595647 3.1936144245249 3.2900602004447 3.24639701017012 3.04418987971579 3.4510525801868 3.23672966627668
1700012B09Rik 2.79560498916052 2.5994382549525 2.43928225372255 2.35067780756933 2.72071690931419 2.70917220626217 2.87747162020188 2.55886642057909
1700012P22Rik 1.98107531872247 1.97915685135357 2.12340500265516 2.05479406386967 2.24107476384623 2.41030028046213 2.11371732500107 2.47310639818076
1700013D24Rik 2.14726266866023 2.21202425537098 2.22663400522285 2.07283309436292 2.09384720127465 1.98907505228367 2.12690670217185 2.07034749763591
1700013F07Rik 2.30364575236348 2.45870431361979 2.32979211195823 2.43522124580785 2.66820716697951 2.3134514160457 2.46327100616351 2.74822030721021
1700013G24Rik 2.57893248504603 2.44078889260346 2.41462666190472 2.59980325800437 2.30824532812017 2.4696615493212 2.4328683386669 2.47953426430747
1700013H16Rik 2.20969606061061 1.99044757431224 2.01304619327891 1.86856386231522 2.0963975527702 2.15748421222125 1.94373923531615 2.04023650199196
1700014D04Rik 3.03328877258746 2.71688185104152 2.49123106920615 2.7688340806984 2.82148125178476 2.54801579645376 2.85006504790856 2.76281361431438
1700016A09Rik 3.74301744525141 3.87673513956267 3.72129944224575 4.0047620271605 4.30572191902113 3.99339260803663 4.17519112252042 4.26557126983724
