diff_w4_up,diff_w4_down,diff_w8_up,diff_w8_down,diff_w16_up,diff_w16_down,diff_w32_up,diff_w32_down,diff_w48_up,diff_w48_down
NA,NA,NA,NA,Gnat3,Onecut1,Kcnip4,Pign,NA,NA
NA,NA,NA,NA,Gnb1,Opn3,Kcnj8,Pigr,NA,NA
NA,NA,NA,NA,Gnpda1,Os9,Kcnk1,Pigu,NA,NA
NA,NA,NA,NA,Gpa33,Ovol3,Kcnn4,Pik3c3,NA,NA
NA,NA,NA,NA,Gpc1,P2ry13,Kcnq1,Pik3r1,NA,NA
NA,NA,NA,NA,Gpc3,Pah,Kcnq3,Pim3,NA,NA
NA,NA,NA,NA,Gpnmb,Papss2,Kcns3,Pink1,NA,NA
NA,NA,NA,NA,Gpr137b,Paqr9,Kcnv2,Pipox,NA,NA
NA,NA,NA,NA,Gpr153,Park2,Kdelr3,Pitpnm1,NA,NA
NA,NA,NA,NA,Gpr176,Pax5,Kif12,Pkdcc,NA,NA
NA,NA,NA,NA,Gpr183,Pbld1,Kif26a,Plcb1,NA,NA
NA,NA,NA,NA,Gpr37,Pbx1,Kif3c,Pld4,NA,NA
NA,NA,NA,NA,Gpr39,Pcbd1,Kif5a,Plekhf1,NA,NA
NA,NA,NA,NA,Gpr4,Pcbp3,Kif5c,Plg,NA,NA
NA,NA,NA,NA,Gpr87,Pcbp4,Kifc1,Pls1,NA,NA
NA,NA,NA,NA,Gprc5a,Pcdh11x,Kifc3,Pltp,NA,NA
NA,NA,NA,NA,Gpsm1,Pcdh7,Kirrel,Pm20d1,NA,NA
NA,NA,NA,NA,Gpx2,Pcdhac2,Klf4,Pm20d2,NA,NA
NA,NA,NA,NA,Gpx3,Pck1,Klf5,Pmvk,NA,NA
NA,NA,NA,NA,Grhl2,Pclo,Klf6,Pnp,NA,NA
NA,NA,NA,NA,Gria3,Pde11a,Klf7,Pnpla7,NA,NA
NA,NA,NA,NA,Grk5,Pde3b,Klhdc8a,Polg2,NA,NA
NA,NA,NA,NA,Gss,Pde4c,Krt18,Pon1,NA,NA
NA,NA,NA,NA,Gsta3,Pdia4,Krt19,Pon3,NA,NA
NA,NA,NA,NA,Gstcd,Pdp2,Krt20,Pou3f3,NA,NA
NA,NA,NA,NA,Gstm2,Pdzk1,Krt23,Ppa1,NA,NA
NA,NA,NA,NA,Gstm3,Pecr,Krt8,Ppa2,NA,NA
NA,NA,NA,NA,Gstp1,Peg3,Lad1,Ppapdc1a,NA,NA
NA,NA,NA,NA,Gtse1,Peli3,Lama4,Pparg,NA,NA
NA,NA,NA,NA,Gucy2c,Pemt,Lama5,Ppargc1a,NA,NA
NA,NA,NA,NA,Gyg1,Per3,Lamb2,Ppif,NA,NA
NA,NA,NA,NA,Gypc,Pfdn2,Lamb3,Ppp1r10,NA,NA
NA,NA,NA,NA,H19,Pgrmc1,Lamc2,Ppp2r5e,NA,NA
NA,NA,NA,NA,H2afy2,Phlpp2,Lbh,Pptc7,NA,NA
NA,NA,NA,NA,Hacd4,Phyhd1,Lbp,Prex2,NA,NA
NA,NA,NA,NA,Hbegf,Pik3c3,Lca5,Prkaa2,NA,NA
NA,NA,NA,NA,Hcn3,Pim3,Lck,Prkag3,NA,NA
NA,NA,NA,NA,Hdgfrp3,Pink1,Lcn2,Prodh,NA,NA
NA,NA,NA,NA,Heatr1,Pja1,Lcp1,Prokr1,NA,NA
NA,NA,NA,NA,Heatr6,Pla2g15,Ldb2,Pros1,NA,NA
NA,NA,NA,NA,Hebp2,Plag1,Ldha,Psenen,NA,NA
NA,NA,NA,NA,Heph,Plcb1,Lefty2,Pstpip2,NA,NA
NA,NA,NA,NA,Heyl,Plcxd2,Lepr,Ptger3,NA,NA
NA,NA,NA,NA,Hic1,Plekhb1,Lgals1,Ptgfr,NA,NA
NA,NA,NA,NA,Hip1,Plg,Lgals2,Ptgr1,NA,NA
NA,NA,NA,NA,Hip1r,Plvap,Lgals3,Ptgs1,NA,NA
NA,NA,NA,NA,Hist1h1a,Pnpla7,Lgi4,Ptp4a1,NA,NA
NA,NA,NA,NA,Hist1h1b,Polr2h,Lilrb4,Ptprg,NA,NA
NA,NA,NA,NA,Hist1h2ail1,Polr2i,Limk1,Pvrl3,NA,NA
NA,NA,NA,NA,Hist1h2ak,Polr3gl,Limk2,Pxmp4,NA,NA
NA,NA,NA,NA,Hist1h2bd,Pon1,Liph,Pzp,NA,NA
NA,NA,NA,NA,Hist1h2bk,Pon3,Lmna,Qdpr,NA,NA
NA,NA,NA,NA,Hist1h2bo,Por,Lmnb2,Ranbp17,NA,NA
NA,NA,NA,NA,Hist1h4m,Pou3f1,Lmod1,Rarres1,NA,NA
NA,NA,NA,NA,Hivep2,Pou6f1,Lnc215,Rarres2,NA,NA
NA,NA,NA,NA,Hivep3,Ppa1,LOC100361444,Rbl2,NA,NA
NA,NA,NA,NA,Hmga1,Ppa2,LOC100365112,Rdh11,NA,NA
NA,NA,NA,NA,Hmgcr,Ppap2b,LOC100910558,Rdh16,NA,NA
NA,NA,NA,NA,Hn1,Ppara,LOC100912312,Rdh7,NA,NA
NA,NA,NA,NA,Homer3,Ppargc1a,LOC302022,Rdm1,NA,NA
NA,NA,NA,NA,Hpcal1,Ppfibp2,LOC308990,Reg4,NA,NA
NA,NA,NA,NA,Hps3,Ppif,LOC361016,RGD1304884,NA,NA
NA,NA,NA,NA,Hrasls5,Ppox,LOC367975,RGD1305347,NA,NA
NA,NA,NA,NA,Hrh1,Ppp1r15b,LOC498222,RGD1305645,NA,NA
NA,NA,NA,NA,Hrk,Ppp4r4,LOC498836,RGD1307537,NA,NA
NA,NA,NA,NA,Hs6st2,Pqlc1,LOC499781,RGD1307603,NA,NA
NA,NA,NA,NA,Hsdl2,Pqlc2,LOC654482,RGD1359508,NA,NA
NA,NA,NA,NA,Hspa12b,Prdm9,LOC680227,RGD1562310,NA,NA
NA,NA,NA,NA,Hspa1a,Prdx4,LOC680663,RGD1562865,NA,NA
NA,NA,NA,NA,Hspa1b,Prdx5,LOC681383,RGD1562963,NA,NA
NA,NA,NA,NA,Hspa4l,Prelid2,LOC688452,RGD1563888,NA,NA
NA,NA,NA,NA,Hspb9,Prex2,LOC689766,RGD1564614,NA,NA
NA,NA,NA,NA,Htra3,Prf1,LOC689986,RGD1564804,NA,NA
NA,NA,NA,NA,Hyal2,Prkab1,LOC690617,RGD1564854,NA,NA
NA,NA,NA,NA,Ica1,Prkcb,Loxl1,RGD1564865,NA,NA
NA,NA,NA,NA,Icam1,Prkd3,Loxl4,RGD1566134,NA,NA
NA,NA,NA,NA,Id1,Prodh,Lpl,Rgn,NA,NA
NA,NA,NA,NA,Idh2,Prodh2,Lrrc1,Rgs18,NA,NA
NA,NA,NA,NA,Ier2,Proz,Lrrc49,Rgs3,NA,NA
NA,NA,NA,NA,Ier5,Psenen,Lrrc52,Rilp,NA,NA
NA,NA,NA,NA,Ier5l,Psmc3,Lrrc75b,Rmrp,NA,NA
NA,NA,NA,NA,Ifi27l2b,Psmc6,Lrrc8e,Rnase11,NA,NA
NA,NA,NA,NA,Ifit2,Pstpip2,Lrrcc1,Rnase13,NA,NA
NA,NA,NA,NA,Ifit3,Ptch1,Lrrfip1,Rnase4,NA,NA
NA,NA,NA,NA,Ifitm2,Ptger3,Lrrk2,Rnd2,NA,NA
NA,NA,NA,NA,Ifngr2,Ptgs1,Lsp1,Rnf125,NA,NA
NA,NA,NA,NA,Ifnlr1,Ptpn22,Ltb,Rnf152,NA,NA
NA,NA,NA,NA,Ift122,Ptprh,Ltbp1,Romo1,NA,NA
NA,NA,NA,NA,Ift22,Ptprq,Ltbp2,Rpp21,NA,NA
NA,NA,NA,NA,Igf2bp2,Pus7,Ltbp3,RT1-Bb,NA,NA
NA,NA,NA,NA,Igf2r,Pvrl3,Ltbp4,RT1-DMb,NA,NA
NA,NA,NA,NA,Igfbp1,Pxmp2,Lypd1,Rtn4rl2,NA,NA
NA,NA,NA,NA,Igsf11,Pyroxd2,Lyz2,Rup2,NA,NA
NA,NA,NA,NA,Igsf3,Pzp,Lzts2,Rxra,NA,NA
NA,NA,NA,NA,Igsf8,Rab3a,Maff,Samd5,NA,NA
NA,NA,NA,NA,Ikbkb,Rad54l2,Mafk,Scand1,NA,NA
NA,NA,NA,NA,Ikbke,Ranbp17,Maged2,Scrn2,NA,NA
NA,NA,NA,NA,Ikzf2,Rarres1,Magee1,Sdc2,NA,NA
NA,NA,NA,NA,Il10rb,Rasgrp1,Magi3,Sdha,NA,NA
NA,NA,NA,NA,Il17re,Rassf7,Mal,Sdhaf3,NA,NA
NA,NA,NA,NA,Il1r2,Rbl2,Mall,Sds,NA,NA
NA,NA,NA,NA,Il1rl1,Rbm38,Maml3,Sdsl,NA,NA
NA,NA,NA,NA,Il1rn,Rbm47,Map1a,Selenbp1,NA,NA
NA,NA,NA,NA,Il22ra1,Rbp4,Map1b,Seli,NA,NA
NA,NA,NA,NA,Il23a,Rcbtb2,Map2,Selo,NA,NA
NA,NA,NA,NA,Il2rg,Rdh7,Map4k2,Sema6c,NA,NA
NA,NA,NA,NA,Il34,Ren,Map4k4,Senp7,NA,NA
NA,NA,NA,NA,Impa2,RGD1305347,Map6,Sepp1,NA,NA
NA,NA,NA,NA,Impdh1,RGD1307461,Map9,Serpina3c,NA,NA
NA,NA,NA,NA,Incenp,RGD1307537,Mapk4,Serpina6,NA,NA
NA,NA,NA,NA,Inhbb,RGD1307603,Mapt,Serpinc1,NA,NA
NA,NA,NA,NA,Inhbe,RGD1309350,March3,Serpind1,NA,NA
NA,NA,NA,NA,Inpp1,RGD1561778,Marcks,Sesn2,NA,NA
NA,NA,NA,NA,Insig1,RGD1563482,Mat2a,Sez6l,NA,NA
NA,NA,NA,NA,Insig2,RGD1564614,Matk,Sfxn1,NA,NA
NA,NA,NA,NA,Iqgap1,RGD1565367,Mcam,Sfxn2,NA,NA
NA,NA,NA,NA,Iqgap3,RGD1566134,Mcemp1,Sh2d4a,NA,NA
NA,NA,NA,NA,Irak2,RGD1566386,Mcm2,Sh3bp5,NA,NA
NA,NA,NA,NA,Irak3,Rgn,Mcpt1l1,Siah2,NA,NA
NA,NA,NA,NA,Irf1,Rgs3,Mdga1,Siglec1,NA,NA
NA,NA,NA,NA,Irg1,Rgs9bp,Mecom,Siglec5,NA,NA
NA,NA,NA,NA,Irx2,Rgsl2h,Megf6,Sik1,NA,NA
NA,NA,NA,NA,Isg15,Rhbdl3,Meox1,Slc10a1,NA,NA
NA,NA,NA,NA,Itga4,Rnase11,Metrnl,Slc10a5,NA,NA
NA,NA,NA,NA,Itga5,Rnase13,Mfap3l,Slc10a6,NA,NA
NA,NA,NA,NA,Itga6,Rnase4,Mfsd10,Slc13a2,NA,NA
NA,NA,NA,NA,Itga8,Rnd2,Mfsd12,Slc13a5,NA,NA
NA,NA,NA,NA,Itgam,rnf141,Mfsd9,Slc16a4,NA,NA
NA,NA,NA,NA,Itgb1,Rnf186,Mgat3,Slc17a2,NA,NA
NA,NA,NA,NA,Itgb2,Ror1,MGC105649,Slc19a2,NA,NA
NA,NA,NA,NA,Itgb6,Rpain,Micb,Slc22a18,NA,NA
NA,NA,NA,NA,Itgb8,Rpp21,Mir155hg,Slc22a22,NA,NA
NA,NA,NA,NA,Itpka,Rpusd3,Mir199a2,Slc22a23,NA,NA
NA,NA,NA,NA,Itpkc,Rspo2,Misp,Slc22a25,NA,NA
NA,NA,NA,NA,Itpripl2,Rsrp1,Mlph,Slc22a6,NA,NA
NA,NA,NA,NA,Jag1,RT1-Da,Mmd,Slc22a7,NA,NA
NA,NA,NA,NA,Jak3,RT1-Db1,Mmp12,Slc22a8,NA,NA
NA,NA,NA,NA,Jam2,RT1-DOa,Mmp13,Slc23a1,NA,NA
NA,NA,NA,NA,Jph4,RT1-DOb,Mmp28,Slc25a15,NA,NA
NA,NA,NA,NA,Jun,Rtn4rl2,Mmp3,Slc25a22,NA,NA
NA,NA,NA,NA,Junb,Rtp3,Mmp7,Slc25a25,NA,NA
NA,NA,NA,NA,Jund,Rundc3b,Mmp8,Slc25a32,NA,NA
NA,NA,NA,NA,Kank3,Rup2,Mogat2,Slc25a33,NA,NA
NA,NA,NA,NA,Katnal1,Samd11,Mphosph6,Slc25a38,NA,NA
NA,NA,NA,NA,Kcnj8,Sat2,Mpp4,Slc25a54,NA,NA
NA,NA,NA,NA,Kcnj9,Satb1,Mpp7,Slc27a5,NA,NA
NA,NA,NA,NA,Kcnn2,Sc5d,Mrgprf,Slc29a4,NA,NA
NA,NA,NA,NA,Kcnn4,Scin,Mrpl49,Slc2a8,NA,NA
NA,NA,NA,NA,Kctd13,Sclt1,Mrvi1,Slc31a1,NA,NA
NA,NA,NA,NA,Kctd15,Scrn1,Ms4a8,Slc38a2,NA,NA
NA,NA,NA,NA,Kdelr3,Scrn2,Msantd1,Slc38a3,NA,NA
NA,NA,NA,NA,Kif11,Scrt2,Msantd3,Slc38a4,NA,NA
NA,NA,NA,NA,Kif12,Sdc2,Msl3l2,Slc39a8,NA,NA
NA,NA,NA,NA,Kif1c,Sdf2l1,Msn,Slc3a1,NA,NA
NA,NA,NA,NA,Kif22,Sdf4,Mst1r,Slc40a1,NA,NA
NA,NA,NA,NA,Kif23,Sdr42e1,Mthfd1l,Slc43a1,NA,NA
NA,NA,NA,NA,Kif26b,Sds,Mthfd2,Slc45a3,NA,NA
NA,NA,NA,NA,Kif2c,Sebox,Mthfd2l,Slc46a1,NA,NA
NA,NA,NA,NA,Kif3a,Sec14l2,Mtmr11,Slc6a12,NA,NA
NA,NA,NA,NA,Kif3c,Sel1l,Mturn,Slc7a10,NA,NA
NA,NA,NA,NA,Kifc1,Selenbp1,Muc1,Slc7a2,NA,NA
NA,NA,NA,NA,Kifc3,Selo,Mustn1,Slc9a3r1,NA,NA
NA,NA,NA,NA,Kirrel,Selp,Mvb12b,Slc9a7,NA,NA
NA,NA,NA,NA,Klf10,Sema4g,Mvp,Slco1a1,NA,NA
NA,NA,NA,NA,Klf11,Sepp1,Mxra8,Slco1a2,NA,NA
NA,NA,NA,NA,Klf4,Serpina1,Myadm,Slco2a1,NA,NA
NA,NA,NA,NA,Klf6,Serpina3c,Mybl1,Slco2b1,NA,NA
NA,NA,NA,NA,Klhdc8a,Serpina6,Mybl2,Smim14,NA,NA
NA,NA,NA,NA,Klhl5,Serpinc1,Mybph,Smlr1,NA,NA
NA,NA,NA,NA,Klhl8,Serpind1,Mycl,Smoc1,NA,NA
NA,NA,NA,NA,Klra17,Serpinf2,Myh10,Smpdl3a,NA,NA
NA,NA,NA,NA,Kntc1,Sfxn2,Myh11,Sod1,NA,NA
NA,NA,NA,NA,Kpna3,Sfxn5,Myh14,Sod3,NA,NA
NA,NA,NA,NA,Krt18,Sgk2,Myh7b,Sord,NA,NA
NA,NA,NA,NA,Krt20,Sh3gl3,Myh9,Spic,NA,NA
NA,NA,NA,NA,Krt23,Shmt1,Myh9l1,Spice1,NA,NA
NA,NA,NA,NA,Krt4,Sla2,Myl12a,Spink1,NA,NA
NA,NA,NA,NA,Krt75,Slamf7,Myl9,Spry4,NA,NA
NA,NA,NA,NA,Krt8,Slc10a1,Myo1c,Spryd7,NA,NA
NA,NA,NA,NA,Lama5,Slc10a5,Myo1f,Sqrdl,NA,NA
NA,NA,NA,NA,Lamb3,Slc13a2,Myo1g,St3gal1,NA,NA
NA,NA,NA,NA,Lamc1,Slc13a3,Myo5a,St8sia6,NA,NA
NA,NA,NA,NA,Lamc2,Slc16a10,Myo7b,Stac3,NA,NA
NA,NA,NA,NA,Laptm5,Slc16a12,Myocd,Stard4,NA,NA
NA,NA,NA,NA,Lbh,Slc16a2,Myof,ste2,NA,NA
NA,NA,NA,NA,Lbp,Slc16a4,Myrip,Stim2,NA,NA
NA,NA,NA,NA,Lcn2,Slc17a2,N4bp3,Sts,NA,NA
NA,NA,NA,NA,Lcp1,Slc17a4,Nagk,Sult1c2a,NA,NA
NA,NA,NA,NA,Leap2,Slc19a2,Nap1l3,Sult1c3,NA,NA
NA,NA,NA,NA,Lgals1,Slc1a3,Nav2,Suox,NA,NA
NA,NA,NA,NA,Lgals3,Slc20a2,Nbl1,Syce2,NA,NA
NA,NA,NA,NA,Lgals3bp,Slc22a1,Ncdn,Syngr1,NA,NA
NA,NA,NA,NA,Lgals9,Slc22a17,Nceh1,Synrg,NA,NA
NA,NA,NA,NA,Lgalsl,Slc22a23,Ncf2,Taf5l,NA,NA
NA,NA,NA,NA,Lgmn,Slc22a6,Nck2,Tat,NA,NA
NA,NA,NA,NA,Lhfp,Slc22a7,Ncs1,Tbck,NA,NA
NA,NA,NA,NA,Lhfpl2,Slc22a8,Ndc1,Tcp11l2,NA,NA
NA,NA,NA,NA,Lif,Slc23a1,Ndrg1,Tdo2,NA,NA
NA,NA,NA,NA,Lilrb4,Slc25a10,Nedd9,Tenm2,NA,NA
NA,NA,NA,NA,Lilrc2,Slc25a15,Nek6,Terc,NA,NA
NA,NA,NA,NA,Limch1,Slc25a30,Nes,Tfcp2,NA,NA
NA,NA,NA,NA,Limd1,Slc25a33,Neurl3,Tfec,NA,NA
NA,NA,NA,NA,Limk1,Slc29a4,Nexn,Tgfbi,NA,NA
NA,NA,NA,NA,Limk2,Slc2a9,Nfatc2,Tle1,NA,NA
NA,NA,NA,NA,Liph,Slc30a3,Nfkb1,Tlr12,NA,NA
NA,NA,NA,NA,Litaf,Slc31a1,Nfkb2,Tlr7,NA,NA
NA,NA,NA,NA,Lman1l,Slc33a1,Nfkbie,Tm7sf2,NA,NA
NA,NA,NA,NA,Lmcd1,Slc35e2b,Nhs,Tmbim6,NA,NA
NA,NA,NA,NA,Lmna,Slc37a4,Niacr1,Tmed4,NA,NA
NA,NA,NA,NA,Lnx2,Slc38a3,Nin,Tmem132e,NA,NA
NA,NA,NA,NA,LOC100294508,Slc38a4,Nipal2,Tmem140,NA,NA
NA,NA,NA,NA,LOC100361092,Slc43a1,Nkd1,Tmem150a,NA,NA
NA,NA,NA,NA,LOC100361444,Slc44a4,Nlgn3,Tmem150c,NA,NA
NA,NA,NA,NA,LOC100363193,Slc46a1,Nme4,Tmem176a,NA,NA
NA,NA,NA,NA,LOC100909539,Slc46a3,Nmt2,Tmem19,NA,NA
NA,NA,NA,NA,LOC100909675,Slc47a2,Nol3,Tmem205,NA,NA
NA,NA,NA,NA,LOC100911068,Slc6a12,Nop56,Tmem5,NA,NA
NA,NA,NA,NA,LOC100912041,Slc7a10,Nop58,Tmem53,NA,NA
NA,NA,NA,NA,LOC100912312,Slc7a2,Nos2,Tmem86b,NA,NA
NA,NA,NA,NA,LOC297756,Slc8b1,Notch3,Tmlhe,NA,NA
NA,NA,NA,NA,LOC308990,Slc9a3r1,Nov,Tnks2,NA,NA
NA,NA,NA,NA,LOC361016,Slc9a7,Npb,Tnnt1,NA,NA
NA,NA,NA,NA,LOC498276,Slco1a1,Npdc1,Tob1,NA,NA
NA,NA,NA,NA,LOC498836,Slco1a2,Nr2c2ap,Tp53i13,NA,NA
NA,NA,NA,NA,LOC499781,Slco1b2,Nrcam,Tp73,NA,NA
NA,NA,NA,NA,LOC502176,Slco2a1,Nrg1,Tpmt,NA,NA
NA,NA,NA,NA,LOC680663,Slco2b1,Nrp2,Tppp,NA,NA
NA,NA,NA,NA,LOC681325,Slco5a1,Nsg2,Tpst1,NA,NA
NA,NA,NA,NA,LOC683722,Smlr1,Nuak1,Tpte2,NA,NA
NA,NA,NA,NA,LOC684871,Smoc1,Nudt7,Trank1,NA,NA
NA,NA,NA,NA,LOC689065,Sntb2,Ogn,Trhde,NA,NA
NA,NA,NA,NA,LOC690617,Socs2,Olfm4,Trib1,NA,NA
NA,NA,NA,NA,LOC691083,Sod3,Olfml2a,Trpm3,NA,NA
NA,NA,NA,NA,LOC691995,Sorbs3,Olfml2b,Trpv1,NA,NA
NA,NA,NA,NA,Lonrf3,Sord,Olr1,Tsc22d3,NA,NA
NA,NA,NA,NA,Loxl1,Sox6,Orai2,Tsen34,NA,NA
NA,NA,NA,NA,Loxl2,Spag1,Oraov1,Tsku,NA,NA
NA,NA,NA,NA,Lpl,Spata25,Orm1,Tspy1,NA,NA
NA,NA,NA,NA,Lrrc32,Spata3,Osbpl6,Tspyl4,NA,NA
NA,NA,NA,NA,Lrrfip1,Spic,Osgepl1,Tst,NA,NA
NA,NA,NA,NA,Lrrk2,Spp2,Osmr,Ttc36,NA,NA
NA,NA,NA,NA,Lrrn4cl,Sptssa,Osr1,Ttr,NA,NA
NA,NA,NA,NA,Lsm11,Srd5a1,Otub2,Ttyh3,NA,NA
NA,NA,NA,NA,Ltb,St6galnac3,P2rx1,Tuba3a,NA,NA
NA,NA,NA,NA,Ltbp1,St8sia6,P2rx5,Ubac1,NA,NA
NA,NA,NA,NA,Ltbp2,Stac3,P2ry2,Ugp2,NA,NA
NA,NA,NA,NA,Ltbp3,Stard4,Pacsin1,Ugt2b15,NA,NA
NA,NA,NA,NA,Ltbp4,Stat2,Padi2,Ugt2b17,NA,NA
NA,NA,NA,NA,Lum,Stim2,Pak1,Ugt2b37,NA,NA
NA,NA,NA,NA,Lurap1l,Stox2,Pak1ip1,Unc5a,NA,NA
NA,NA,NA,NA,Ly49si1,Sts,Palm,Unc5d,NA,NA
NA,NA,NA,NA,Lypd1,Styx,Palm2,Upp2,NA,NA
NA,NA,NA,NA,Lyrm1,Sucla2,Pamr1,Uqcr10,NA,NA
NA,NA,NA,NA,Lysmd2,Sult1c2,Papss1,Uqcr11,NA,NA
NA,NA,NA,NA,Lyz2,Sult1c2a,Paqr6,Uqcrh,NA,NA
NA,NA,NA,NA,Lzts2,Sult1c3,Paqr8,Ush2a,NA,NA
NA,NA,NA,NA,Mad2l2,Sult2a1,Parm1,Usp39,NA,NA
NA,NA,NA,NA,Maff,Suox,Pbdc1,Ust,NA,NA
NA,NA,NA,NA,Mafk,Syce2,Pcbp3,Ust5r,NA,NA
NA,NA,NA,NA,Magee1,Syde2,Pcdh17,Vamp7,NA,NA
NA,NA,NA,NA,Magi3,Synpo2l,Pcdhb12,Vipr1,NA,NA
NA,NA,NA,NA,Magohb,Synrg,Pcdhb5,Vsig4,NA,NA
NA,NA,NA,NA,Mal,Syt3,Pck2,Vtn,NA,NA
NA,NA,NA,NA,Manba,Taf5l,PCOLCE2,Wasl,NA,NA
NA,NA,NA,NA,Map1a,Tat,Pdcd1,Wbscr27,NA,NA
NA,NA,NA,NA,Map1b,Tbc1d14,Pdcl3,Wdtc1,NA,NA
NA,NA,NA,NA,Map1s,Tbck,Pde4a,Whamm,NA,NA
NA,NA,NA,NA,Map2k1,Tceb2,Pde5a,Wwp1,NA,NA
NA,NA,NA,NA,Map3k6,Tcp1,Pde6c,Xk,NA,NA
NA,NA,NA,NA,Map4k4,Tcp11l2,Pdgfa,Xkr4,NA,NA
NA,NA,NA,NA,Map6,Tdrkh,Pdgfb,Xpnpep2,NA,NA
NA,NA,NA,NA,Map9,Tef,Pdgfd,Yod1,NA,NA
NA,NA,NA,NA,Mapk13,Tenm2,Pdgfrb,Zbtb16,NA,NA
NA,NA,NA,NA,Mapk4,Terf1,Pdk3,Zbtb20,NA,NA
NA,NA,NA,NA,Mapk7,Tert,Pdlim4,Zbtb39,NA,NA
NA,NA,NA,NA,March3,Tfcp2,Pdlim7,Zdhhc23,NA,NA
NA,NA,NA,NA,Marcks,Tfdp2,Peg12,Zdhhc4,NA,NA
NA,NA,NA,NA,Marcksl1,Tfr2,Peg3,Zfand6,NA,NA
NA,NA,NA,NA,Marveld2,Thrb,Pex11a,Zfp189,NA,NA
NA,NA,NA,NA,Mat2a,Thumpd1,Pfkp,Zfp354a,NA,NA
NA,NA,NA,NA,Matk,Thumpd2,Pfn2,Zfp37,NA,NA
NA,NA,NA,NA,Mbd2,Timeless,Phactr2,Zfp394,NA,NA
NA,NA,NA,NA,Mbp,Tlr11,Phgdh,Zfp638,NA,NA
NA,NA,NA,NA,Mcam,Tlr12,Phlda3,Zfp68,NA,NA
NA,NA,NA,NA,Mcemp1,Tm7sf2,Phldb1,Zfp697,NA,NA
NA,NA,NA,NA,Mcm2,Tmc3,Pi16,Zhx2,NA,NA
NA,NA,NA,NA,Mcm5,Tmem117,Pik3c2b,Zhx3,NA,NA
NA,NA,NA,NA,Mcoln2,Tmem132b,Pik3r5,Zrsr1,NA,NA
NA,NA,NA,NA,Mcoln3,Tmem144,Pkd2,NA,NA,NA
NA,NA,NA,NA,Mdfic,Tmem150a,Pkia,NA,NA,NA
NA,NA,NA,NA,Med12l,Tmem159,Pkm,NA,NA,NA
NA,NA,NA,NA,Med9,Tmem163,Pkp2,NA,NA,NA
NA,NA,NA,NA,Megf9,Tmem19,Pla1a,NA,NA,NA
NA,NA,NA,NA,Meis3,Tmem205,Pla2g1b,NA,NA,NA
NA,NA,NA,NA,Melk,Tmem218,Pla2g2d,NA,NA,NA
NA,NA,NA,NA,Mesdc1,Tmem41b,Pla2g7,NA,NA,NA
NA,NA,NA,NA,Mesp2,Tmem47,Plagl1,NA,NA,NA
NA,NA,NA,NA,Mest,Tmem63a,Plat,NA,NA,NA
NA,NA,NA,NA,Metrnl,Tmlhe,Plaur,NA,NA,NA
NA,NA,NA,NA,Mfap2,Tmpo,Plcd1,NA,NA,NA
NA,NA,NA,NA,Mfap4,Tnnt1,Plch1,NA,NA,NA
NA,NA,NA,NA,Mfge8,Tom1l1,Plekha1,NA,NA,NA
NA,NA,NA,NA,Mfhas1,Tp53i13,Plekha4,NA,NA,NA
NA,NA,NA,NA,Mfsd10,Tpcn1,Plekhs1,NA,NA,NA
NA,NA,NA,NA,Mfsd12,Tpmt,Plet1,NA,NA,NA
NA,NA,NA,NA,Mgarp,Tppp,Plin2,NA,NA,NA
NA,NA,NA,NA,Mgat5,Tpst1,Plod2,NA,NA,NA
NA,NA,NA,NA,MGC105649,Tram1,Plp2,NA,NA,NA
NA,NA,NA,NA,Mgp,Trappc2b,Plscr1,NA,NA,NA
NA,NA,NA,NA,Mgrn1,Trhde,Plscr4,NA,NA,NA
NA,NA,NA,NA,Mical1,Trpm3,Plxna3,NA,NA,NA
NA,NA,NA,NA,Mical2,Tspan12,Pmepa1,NA,NA,NA
NA,NA,NA,NA,Micalcl,Tssk6,Pmp22,NA,NA,NA
NA,NA,NA,NA,Mid2,Tst,Pnliprp2,NA,NA,NA
NA,NA,NA,NA,Mir21,Ttc39c,Podxl,NA,NA,NA
NA,NA,NA,NA,Mir322,Ttpa,Pof1b,NA,NA,NA
NA,NA,NA,NA,Mis12,Ttr,Pola2,NA,NA,NA
NA,NA,NA,NA,Mitd1,Tuba3a,Polb,NA,NA,NA
NA,NA,NA,NA,Mitf,Txndc11,Polr3g,NA,NA,NA
NA,NA,NA,NA,Mki67,Txndc17,Popdc2,NA,NA,NA
NA,NA,NA,NA,Mmp12,Txnrd2,Pou2af1,NA,NA,NA
NA,NA,NA,NA,Mmp13,Tyw5,Ppil1,NA,NA,NA
NA,NA,NA,NA,Mmp2,Ube2d4,Ppip5k1,NA,NA,NA
NA,NA,NA,NA,Mmp23,Ugp2,Ppl,NA,NA,NA
NA,NA,NA,NA,Mmp24,Ugt2b1,Ppp1r14b,NA,NA,NA
NA,NA,NA,NA,Mmp3,Ugt2b10,Ppp1r1b,NA,NA,NA
NA,NA,NA,NA,Mmp8,Ugt2b15,Ppp1r36,NA,NA,NA
NA,NA,NA,NA,Mmp9,Ugt2b17,Ppp2ca,NA,NA,NA
NA,NA,NA,NA,Mnda,Ulk2,Ppp2r1b,NA,NA,NA
NA,NA,NA,NA,Mob3a,Ung,Ppp2r2b,NA,NA,NA
NA,NA,NA,NA,Mpi,Upp2,Pqlc3,NA,NA,NA
