diff_w4_up,diff_w4_down,diff_w8_up,diff_w8_down,diff_w16_up,diff_w16_down,diff_w32_up,diff_w32_down,diff_w48_up,diff_w48_down
LOC691083,NA,Hfe2,Onecut1,Aqp7,Atp7b,Art4,Baat,Mical2,Pck1
Lonrf3,NA,Hibch,Pcdh7,Arap2,Auh,Artn,Bach1,Mid1ip1,Pde6c
Lrp5,NA,Hist1h2bh,Pde3b,Arf2,Azgp1,Asns,Bank1,Mir3577,Pdgfa
Lrrc20,NA,Hist1h4b,Pde4b,Arfgap3,B3gnt5,Aspn,Banp,Mmp8,Pfkfb1
Lrtm2,NA,Hnf4g,Pdp2,Arg2,B4galnt1,Atf3,Batf3,Mycl,Phlpp2
Ltbp4,NA,Hs6st2,Pja1,Arhgap10,Baat,Atf4,Bcar1,Naprt1,Phtf1
Mab21l3,NA,Hsd17b6,Pla2g12a,Arhgap11a,Bace1,Atf7ip2,Bco2,Ncr3,Phyh
Manea,NA,Hspa4l,Plcxd2,Arhgap22,Bank1,Atp10a,Blk,Nme1,Pigc
Mast3,NA,Ifi27l2b,Plekhb1,Arhgap28,Bcan,Atp1a3,Blvrb,Nrg1,Pik3c3
Mbp,NA,Ikbke,Pnpla7,Arhgdia,Bcar3,Atp1b2,Bmp2,Nuak1,Pink1
Mettl7b,NA,Il36b,Prelid2,Arhgef19,Bcat2,Atp2b4,Bnip3,Nxn,Plcxd2
Mgat4b,NA,Inhba,Prex2,Arhgef28,Bdh1,Atp6v1b2,Bola1,Orm1,Por
Mgll,NA,Inhbe,Prkab1,Arhgef9,Best3,Atp6v1d,C1qa,Otub2,Pou3f1
Mgst3,NA,Iyd,Prrg1,Arid3a,Blk,B3galnt1,C1qb,P2rx5,Ppara
Micu3,NA,Jade2,Ptger3,Arid5a,Blvrb,B3galt5,C1qc,P2ry2,Ppp4r4
Mid1ip1,NA,Jakmip2,Ptpn13,Arl10,Bmf,B4galnt4,C6,Pak1,Prelid2
Mir22,NA,Jund,Pus7,Arl11,Bsn,B4galt1,C8b,Parvb,Prrg1
