"","FPKM.L_32ko1","FPKM.L_32ko4","FPKM.L_32ko5","FPKM.L_32wt1","FPKM.L_32wt4","FPKM.L_32wt5","FPKM.L_48ko1","FPKM.L_48ko2","FPKM.L_48ko3","FPKM.L_48wt1","FPKM.L_48wt3","FPKM.L_48wt4"
"Creb3l1",1.35203004499848,2.64837726907875,3.01785562724232,2.49453559318942,3.1300984548495,2.22417601398601,1.81853864457282,2.14574580602007,1.76126853511706,2.3190606847066,1.8720389437519,2.09274755913652
"Creb3l2",13.385310035807,28.1797850384017,28.243562964193,26.9895101048262,20.653158584328,19.1825574187857,30.103711787753,23.5667585760249,33.1357106590555,28.5522032703685,22.3484477763363,22.8434175277634
"Creb3l3",408.689962875,354.882202237319,398.13318661413,355.224606049819,241.871423074275,319.044194858696,223.473956106884,202.282595723732,210.735314895833,250.371112871377,311.159371663043,260.326656404891
"Creb3l4",0.0063173924783028,0.0283941986499518,0.0934900096432015,0,0,0,0,0,0.0103506653809065,0.00873458823529412,0.0151235756991321,0
"Creb5",0.0185001128489408,0.147875666204712,0.22563485765195,0.00313584201148287,0.0226665903781429,0,0.0276489534745595,0.0066186509602059,0.00775029697089685,0.0113131752128291,0.0105576495743417,0.0259268477529202
"Crebbp",42.4942211611606,41.5283091881643,44.9243137058317,37.2294162924447,43.2770405509911,38.8282166791152,36.7074438339558,34.9022707020971,33.3154064044815,33.2227007480609,32.4579059264579,38.8178302792301
"Crebl2",4.67549768570986,5.40785125793466,5.68447084424834,4.00316293450999,3.73322887304536,3.76989228053878,4.43462908499768,3.71012406564484,3.95799346988698,4.08262717448521,3.87579735361511,4.08049513608918
"Crebrf",17.5551966279512,10.5137997228648,8.12584468531136,9.39987859736967,15.4073309410553,11.6551687838694,9.42571971462526,7.15215785533196,6.35822588575503,10.0988619364601,12.8763086952939,11.0033317439392
"Crebzf",20.5355292998565,19.957083069823,19.9894027651841,9.15752708799617,16.7348852118604,18.6839091272119,13.9387887685318,15.7294355016738,12.8677068488761,15.5742214155906,16.9263853275945,17.6979078369201
"Creg1",96.2121725913692,113.136223058071,86.232141514651,103.995618751199,53.3449592413426,60.3985171758125,87.1555491720831,68.2363415897709,73.4878953308471,53.5992948012786,64.2828632701119,48.8432033431007
"Creld1",15.938703313244,19.933523530506,18.6836258787202,15.0776323563988,19.729246156994,18.4420696651786,15.1886923794643,16.3970069397321,12.616361639881,16.4298404739583,15.2058730744048,15.2448571354167
"Creld2",2.06548701668427,3.61492117761352,5.8890424092925,3.27822348975713,2.29753408067582,2.2704366563886,2.23781818796199,2.91795314889124,2.89760666356917,5.2199523750792,2.90762521140443,2.67972141414995
"Crem",23.2878154264214,14.1678968954849,19.9472507650502,19.7480778051839,46.4229627658863,40.8530935710702,26.0253787115385,28.4586072558528,21.8663674272575,38.1134920091973,33.7227382692308,46.0802311488294
"Crh",0,0,0,0,0,0,0,0,0.0341210904645477,0,0.0164530415647922,0
"Crhbp",0,0,0,0,0,0,0,0,0,0,0,0
"Crhr1",0,0,0,0,0,0,0,0.0205145359557468,0,0.0181975107559926,0,0
"Crhr2",0,0,0,0,0,0,0,0,0,0,0,0
"Crim1",44.5612792535497,79.9172390831643,122.416343440162,61.6187770466531,62.9216253874239,52.8675802434077,55.6987218904665,58.2757542880325,51.0524208681542,60.7541359107505,44.4450264421907,55.323548
"Crip1",2.24711766031196,6.28595046187175,12.961514677643,3.07951293760832,2.87530257712305,3.46169066984402,4.46613328076257,4.94916014038128,4.80882429722704,3.44932106152513,4.22368114644714,4.267555305026
"Crip2",81.4552080891591,79.4180379756839,92.180236218845,111.751028616008,90.23570295846,81.0302274204661,106.607387546099,100.928074174265,90.6655895886525,95.7756454002026,66.187095922999,114.611505823708
"Crip3",0.141719466619817,0.123298703443429,0.073131636683064,0.00988525931131413,0.0696282375263528,0.0652508959943781,0.083365085734364,0.126745920590302,0.0918839430780042,0.0964638172874209,0.118762526352776,0.147744813773718
"Cript",14.6952639278075,13.6641682105615,12.2617161022727,10.5234835541444,13.8994121784759,12.195201315508,13.0567288903743,11.7507677867647,10.3952680200535,12.2277952446524,14.381485769385,13.6085637245989
"Crisp1",0,0.0480677284299859,0,0,0,0,0,0,0,0,0,0
"Crisp2",0,0,0,0,0,0,0,0,0,0,0,0.0241182123636364
"Crisp4",0,0,0,0,0,0,0,0,0,0,0,0
"Crispld1",0.0318500578778135,0.0241605627009646,0.0520249774919614,0.0782523729903537,0,0,0,0.0289071511254019,0.019301038585209,0.0188657427652733,0.0311274887459807,0.0660235209003215
"Crispld2",3.18897988981481,6.24418888888889,11.3558174287037,3.56202899722222,1.65137083703704,3.31954258518518,5.74454521574074,2.87774376018519,2.20787855648148,3.01383563240741,2.78476599074074,2.72288562962963
"Crk",9.32923551388388,10.5074189253516,12.3163001370357,8.15036936170213,8.79970952758745,8.09747545618464,8.27473293905518,6.90140602957086,7.41182111792283,7.86569569419401,7.81064178867652,8.08319320591417
