"","FPKM.L_32ko1","FPKM.L_32ko4","FPKM.L_32ko5","FPKM.L_32wt1","FPKM.L_32wt4","FPKM.L_32wt5","FPKM.L_48ko1","FPKM.L_48ko2","FPKM.L_48ko3","FPKM.L_48wt1","FPKM.L_48wt3","FPKM.L_48wt4"
"Poll",1.55879948910733,2.36883312167907,2.16183949149841,1.87002529171095,3.22753215329437,2.6145895422423,2.26707431296493,2.32659065701381,2.05201677258236,2.01114494075452,1.81586088443146,2.38623027258236
"Polm",2.16818764108527,3.06855232248062,3.99313982015504,2.46352642325581,3.71617650775194,3.37175646356589,2.57428818992248,2.65761787829457,2.3930849,3.76737357131783,3.50046031627907,2.26214523178295
"Polq",0.410638411838791,0.49455526070529,0.622089755037783,0.197490260075567,0.361012130982368,0.475562818010076,0.268407192695214,0.250311481108312,0.226019196473552,0.0720499282115869,0.535289405541562,0.763902141687657
"Polr1a",7.56289205327762,9.6862077492818,12.2237945803082,6.7853997388352,6.83683254949073,6.31120708069992,4.90966259806738,6.16129265291199,5.86152185322539,5.62094923165317,7.50554068007313,7.97166827683468
"Polr1b",14.9730398865004,16.0637195700774,17.9876672949269,14.0939953912296,14.5305449527085,13.0074972106621,11.8027906586414,10.2578062080825,10.3855103456578,12.4642837214101,14.627007566638,13.27796472227
"Polr1c",8.82496520179372,12.8751706816143,14.4376267802691,9.26171060986547,11.6654306636771,11.1585763587444,9.33461701345291,8.48252284304933,8.2195965470852,9.10007997309417,10.1683202959641,9.90589380269058
"Polr1e",3.88576702033272,5.09361713863216,6.48933998521257,4.42968490573013,3.52818376340111,4.14888482439926,4.23569206654344,4.85200924953789,3.76332664325323,2.90258074306839,4.61081817375231,3.97619936414048
"Polr2b",151.314853780851,189.113169446809,187.149821182979,117.804993674468,127.681711797872,132.311779331915,174.2597045,201.401644321277,179.910249414894,141.589120459574,139.109834812766,169.972356906383
"Polr2c",14.3705010162225,18.152392391657,18.794821193511,14.6607294855156,15.5277089258401,15.2887090567787,12.4112327844728,13.8417133511008,13.1526540440324,14.6176149327926,14.9725563337196,13.7685427276941
"Polr2d",6.32246353797468,4.58104030696203,5.73553812341772,4.48860468987342,5.32461969303797,4.55462327531646,5.17811010443038,4.44608719936709,3.81251738291139,4.63367465822785,5.62596537974683,6.43406939240506
"Polr2e",18.4681400212766,25.0735468923655,26.4511353441802,20.3869952490613,22.471407310388,16.9366908986233,17.1991849111389,17.055310057572,15.9607668473091,17.8167001864831,17.5425282928661,18.4138294443054
"Polr2f",10.520798282967,11.3417765934066,13.6510383104396,11.1651631181319,11.7932703434066,9.08566296703297,10.0427779395604,9.96702271978022,11.0001743956044,10.1515971428571,10.4159973214286,11.4128072802198
"Polr2g",11.8931947777778,15.6262297003968,19.1250542996032,15.6340549186508,18.3733213690476,19.0842792619048,19.6008070218254,18.5289147896825,16.1395057996032,14.8889160615079,18.8946726825397,18.5693199702381
"Polr2h",7.11827498666667,6.9810088,6.50793257333333,5.1881038,4.91974290666667,6.16469232,8.15653933333333,5.61300793333333,5.87436626666667,8.56509468,6.3082448,6.39284537333333
"Polr2i",5.88729089600385,5.09283484785749,5.44900496629754,4.71494516273471,5.66689576697159,5.08494102022147,4.89809773615792,4.53759255223881,5.34226979922966,4.67486706114588,7.17104846605681,6.11869891478093
"Polr2j",4.9274428054211,4.26261636205227,4.6247537250726,4.14192270087125,4.44138881316554,4.67055694094869,3.76399327008712,4.11733384898354,3.7573459535334,3.91565741142304,4.40731763794773,4.15525873765731
"Polr2k",5.93161794676806,6.34280422813688,5.82364249429658,4.41771884410646,6.86268906463878,6.8375872243346,5.80289779467681,6.56868778707224,4.99723814448669,5.82859306463878,7.23318378707224,6.14760015209125
"Polr2l",25.7071491297468,25.1128455300633,28.8934361155063,21.7812596914557,24.6809651898734,26.2839596518987,29.680484375,31.2700632911392,29.2863196202532,27.8081803797468,26.0020268987342,23.6584181170886
"Polr2m",19.6571217113402,20.2516161649485,22.1273999690722,15.365699185567,15.1185948969072,13.8850454639175,15.1592417938144,15.0092267216495,13.5997007525773,14.6222333402062,14.2508198762887,15.7774501030928
"Polr3b",3.17913635667682,3.61119815484993,4.76348157198782,2.62096678120922,3.05624036015659,2.61070058547194,2.66962606872553,2.49373568943019,2.24056756415833,2.80442380687255,2.69318152414093,2.94159308655937
"Polr3c",5.19038358331,5.18427419126295,5.6465378241389,4.31083395743489,4.4801437241669,4.3969798983478,4.87895571632596,4.2502225841501,4.33403996975637,4.06984074572949,3.97786778241389,3.90123491458975
"Polr3d",10.2884364978541,11.9944572978541,16.4795014454936,9.36267747296137,12.2172543862661,9.94721671416309,10.3939729030043,11.1044960549356,10.1053040549356,11.6549740223176,11.038305311588,11.050758695279
"Polr3e",8.82837570189926,11.8050400132122,13.11769359455,8.23208586374897,8.26977392815855,7.00176597853014,7.62833439471511,6.72291949380677,6.92261309744013,7.77202727910818,7.87252712881916,10.4999175887696
"Polr3f",20.7632685652174,18.8621954782609,18.0449842753623,12.006320447205,16.0076752091097,15.8019408881988,14.4398666853002,14.9199721387164,13.2525640807453,15.342764426501,17.339600621118,20.8431385859213
"Polr3g",2.19699553164219,3.28801755914553,4.18248392763685,1.97341946488652,1.4770952811749,1.25027527797063,1.63438233618158,1.63428030761015,2.26100177329773,1.55248581361816,1.83254661388518,1.89517690013351
"Polr3gl",2.93721742371958,3.00424470214312,1.65480971394842,1.65240079186342,1.97464791681802,2.39325361787141,1.80134411641845,1.92681224664003,1.45937789593171,1.73768954050127,2.16605618961133,2.08155433436251
"Polr3h",1.173052152219,1.92477299357113,2.10398768311904,1.42707082911655,1.51907618996267,1.49071764392368,1.61231791600995,1.70322905723766,1.7412283888428,1.79150045956035,1.48294559560348,1.4961905
"Polr3k",17.7240612424893,15.1335653690987,14.8452568648069,18.6400168454936,10.5529706072961,10.9587797446352,15.0724917811159,15.6079263025751,18.6024247274678,13.8754581630901,11.1029604270386,16.070878693133
"Polrmt",6.83340566556047,8.3367552710177,8.83726375,7.94569552175516,8.7133763329646,7.78533440081121,5.78838771939528,5.95368417588496,7.23493815818584,6.67727147861357,8.87630178466077,6.83824571902655
"Pom121",15.8957809340218,16.8904715811819,19.1903148296041,14.5890551899025,18.2723354297189,15.2586643947217,14.3696049202524,12.4463682811245,12.096460875502,13.5139763109581,14.1355635926563,14.4462814193919
"Pom121l2",0.0134808674371176,0,0,0.0103011257647859,0,0,0,0,0.0266120870156356,0,0,0
"Pomc",0.578872530337079,1.07939318202247,1.03007048539326,0.672120701123595,0.455164714606742,0.597902085393258,0.405025208988764,0.5236908,0.483046175280899,0.496971721348315,0.608092301123595,0.631298053932584
"Pomgnt1",5.30556324569855,5.74294277219546,7.73251954026153,4.6164567377839,4.70486177838954,4.22007731314522,4.43999008947006,4.35161304611149,4.35562971782519,5.04185344253269,4.59625299105299,4.52956728148658
"Pomgnt2",0.866515256377139,1.22751717694543,1.04909464707782,1.05563047497578,1.50250933580885,1.4688548592186,1.01702502292541,0.55581664223442,0.813145800774943,1.00157665127543,1.35244981143042,1.08463507555699
"Pomk",12.7810755778284,19.0808737767654,17.3109848944571,10.3018876962794,17.0722160167046,14.4925064510251,13.4813519969628,12.9471857676538,12.1185626438876,11.623225453303,14.8522167714503,15.5460909339408
"Pomp",42.2987934593519,45.3365759664582,48.8132987322342,33.4989171944287,43.2748413814668,43.1546893575895,39.9561318163729,45.7164311540648,41.2029775440591,40.3035958612848,45.2300585503127,48.0282051421262
"Pomt1",10.4115235358127,13.5503197534435,12.3215140509642,10.7626752093664,11.7809860426997,9.85309120523416,11.3361358829201,10.4199153112948,11.146231184573,10.9420586666667,8.26805233195592,10.6751189504132
"Pomt2",2.27168948797863,2.16753781003265,2.0430060519442,1.82162616740873,2.55411125170674,2.46593454140695,2.15042847076284,1.86962185366578,1.95625511991689,1.92253652092609,2.41513510032651,2.61409321964975
"Pon1",800.670719694656,631.331399229008,533.57524897201,687.557642346056,800.580926880407,871.090513094148,579.84176951145,666.421403129771,539.227646531807,769.179623272265,930.137263071247,876.02812035369
"Pon2",154.841227552467,125.487866768589,116.133829920778,102.056149536484,117.731195056289,127.592436314802,120.755149530229,132.978757125782,110.59212914663,117.757802528839,129.135038976372,126.66385666991
"Pon3",255.861780669039,187.696359188612,145.520134135231,184.736068782918,270.23366805694,255.967144540925,166.527410049822,198.441548455516,155.810368569395,216.321827829181,307.281308540925,286.792038362989
"Pop1",1.95316298696629,2.2659015788764,3.05884456044944,1.72179218022472,1.46935944539326,1.83579308359551,2.0452070952809,2.30507282831461,1.56389737078652,2.2607322458427,2.18135103505618,1.9163780494382
"Pop4",8.05360770350194,8.87768925058366,7.92924201245136,5.52666296731517,8.55177786770428,7.15385454163424,7.24100236809339,7.6770103307393,6.98000846848249,6.21623024824903,8.80880904280156,7.10687070350195
"Pop5",3.62073766611977,4.47545644708778,4.68189687448728,3.97518555906481,4.10874636177194,3.87343326702215,3.79698093232158,4.18590107957342,3.70955194339623,4.29053963494668,3.99626708613618,4.60893579696473
"Pop7",1.7604084701174,2.51221287406617,3.29136169690502,1.71096791462113,1.95045143916756,1.34567226307364,2.43247470064034,2.18227958804696,2.17486802561366,1.95797636125934,2.25409158217716,2.17754772198506
"Popdc2",0.162209993704753,3.03158946333019,4.38219317752597,0.66872700661001,0.436625259678942,0.0509662968209002,0.776899685237646,0.702054383065785,0.549879650613787,0.561164329556185,0.264415022033365,1.01386463644948
"Popdc3",0,0,0,0,0,0,0,0,0,0,0,0
"Por",345.315601092461,292.22662170697,276.093935271693,206.209438634424,405.025761914651,371.633908196302,90.4138386330014,65.050459368421,83.3247536699858,165.967944152205,296.216540490754,153.784640849218
"Porcn",0.265428496183206,0.957932691263783,0.702001353689567,0.373781936386768,0.333141250212044,0.473780261238338,0.467845927905004,0.327944436810857,0.22831089821883,0.35356212807464,0.401857762510602,0.471775128922816
"Postn",0,0.402412875741987,0.681331348634745,2.68819837158686,0,0,0.163431316976652,0,0,0.0450751804511278,0.0142430680648991,0.0918626972694895
"Pot1",2.19667161949318,2.98083794463938,2.80220632826511,1.6366547711501,3.31408459727096,2.7175041871345,2.45533741910331,2.48295300740741,2.07493363898636,2.24504633762183,2.95894134269006,3.11534639532164
"Poteg",0,0,0,0,0,0,0,0,0,0,0,0
"Pou1f1",0.0533317490652264,0.0561443032820939,0.0392875911923556,0.0263220199418363,0.0772957690070627,0.0289739127544661,0.0167283788948899,0.0200336933942667,0,0.0467945932696302,0.0148533427503116,0.0276367004570004
"Pou2af1",0.0931007136150235,0.0856146244131455,0.686595730046948,0.0318340985915493,0.0750032582159624,0.0578633849765258,0.11949184741784,0.13880534741784,0.0754405258215962,0.0639893685446009,0.17104535915493,0.242612338028169
"Pou2f1",1.28205338414634,1.78706426067073,1.75037094512195,0.898918239329268,1.40557525152439,1.22527408536585,1.3586997027439,1.27892533536585,1.02501727134146,0.895084207317073,1.18455514481707,1.53925806402439
"Pou2f2",0.291167401797603,0.420631033621838,0.338274592210386,0.161517767976032,0.27416819241012,0.175901714380826,0.498266894141145,0.22466107689747,0.406473035952064,0.248571071904128,0.183846746005326,0.43973805758988
"Pou2f3",0,0,0.0247480281690141,0,0,0,0,0,0,0,0,0.0518974061032864
"Pou3f1",0.172688456074766,0.148427424299065,0.137379160747664,0.128258514018692,0.325762598130841,0.110835644859813,0.238122454205607,0.0625235289719626,0.0365048822429907,0.379319689719626,0.595833327102804,0.153448517757009
"Pou3f2",0.0235068591549296,0,0.0277477605633803,0,0,0,0.0345586690140845,0,0,0,0,0.0213110492957746
"Pou3f3",0.697267410124725,0.095292698459281,0.046408824651504,0.0462501393983859,0.328826699926632,2.13105699486427,0.712454911225238,0.61174928246515,0.490103812179017,1.62330385619956,0.838592055759354,0.261092340425532
"Pou3f4",0,0.0275634072874494,0.0255237813765182,0,0,0,0,0,0,0,0.0292408469635628,0
"Pou4f2",0,0,0,0,0,0,0,0,0,0,0,0
"Pou4f3",0,0,0,0,0,0,0,0,0,0,0,0
"Pou5f1",0,0.00721819544900447,0.0256782332385209,0,0,0.00649931125558716,0,0.0128308090207233,0,0,0.00775818935392117,0
"Pou5f2",0.31398368902439,0.32864084222561,0.478905137195122,0.132394447408537,0.345595735518293,0.564408178353659,0.418204698932927,0.392047549542683,0.448258875762195,0.527011775914634,0.469110796493902,0.461204725609756
"Pou6f1",1.21927243240901,2.25942301733102,2.74713237694974,1.53760558665511,1.02248044627383,0.937553584055459,1.62527576689775,1.28861709358752,1.87434159098787,2.06574747140381,1.09911742287695,2.42447448526863
"Pou6f2",0,0,0,0,0,0,0,0,0,0,0,0
"Pp2d1",4.24269644313726,5.83337103137255,5.37373536941176,2.15740717960784,3.44892453803922,4.6744677945098,3.91117561568627,3.63722867686274,3.25866125019608,4.80162139137255,4.06716634196078,4.62494282352941
"Ppa1",36.7064736103896,23.5937748051948,27.0514174753247,25.0048772363636,32.1227059844156,34.1869863376623,32.643642825974,35.6362053506493,31.1519669818182,29.2420515220779,33.5504303480519,25.4157291844156
"Ppa2",24.0366047702871,20.4496752659176,18.5786306666667,22.3811298202247,24.6350322883895,22.8005526329588,22.2037538252185,23.2040276267166,21.5618049475655,22.3610399912609,26.0732390049938,22.4564257990012
"Ppan",9.97891314009662,11.9426547705314,17.3913107004831,8.35006874396135,10.3960356038647,7.18932669082126,7.11870574879227,8.50742498792271,6.49509937198068,8.36602908212561,9.01822031400966,8.29305305555556
"Ppap2a",12.2676258603239,12.1626276315789,14.6089783906883,9.57023689271255,13.1153373987854,11.1921212044534,7.76836336032389,8.72484994939271,8.74287115384615,9.37248026315789,10.1790829453441,11.0995796052632
"Ppap2b",132.250142622721,140.832620939691,105.197487475456,115.192579929874,124.896527068724,116.744974446003,113.775285315568,81.889371486676,80.3829437026648,97.5169102664797,131.631213814867,97.7332748667602
"Ppap2c",4.68865329639044,10.8549663080834,14.4798671713269,7.30596620132181,2.56560503609558,3.65019812913066,6.87693317234367,6.12865908896797,5.81884678596848,4.96186881748856,4.10300053787494,6.11604832740213
"Ppapdc1a",0.375350713508164,0.0050866076199901,0.219095928748144,0.110030383968333,0.440371656605641,0.754931355764473,0.298172796635329,0.444565327065809,0.286030571994062,0.269022976744186,0.212099308263236,0.217854543295398
"Ppapdc1b",5.41426392765175,7.83676511587983,9.48300815205395,4.48838283752299,5.6450852004905,4.86440376456162,6.4292117639485,7.33300732863274,6.87913051747394,7.76978843838136,5.55767082526058,4.87465691477621
"Ppapdc2",6.79435106863597,9.42264623457863,8.1689927680278,6.60837143006082,8.06943913640313,7.03019238922676,8.07374191485665,7.55328288792354,5.26219893483927,5.97201118679409,7.12246611120765,5.47753236837533
"Ppapdc3",0.598995838114754,0.726146265163934,1.29675200532787,0.771007569672131,0.858200487704918,0.819175691393443,0.689079601229508,0.944738007786885,0.912088226229508,0.74400162704918,0.789831920901639,0.624872368032787
"Ppara",36.2029191660317,26.3968026104762,32.564434592381,27.4220886314286,36.4538375438095,40.4019232777778,15.8753880714286,10.7207839434921,12.1391159692063,20.7137294380952,30.9278005625397,21.3415713733333
"Ppard",1.9154510877106,2.31321060654113,2.32318249851338,1.94558417641229,2.67215184043608,2.43534405698712,1.60377571655104,3.9767449345887,2.45017419524281,1.65626433548067,1.85118419177403,1.6753990852329
"Pparg",7.5665238125,3.81051304545455,6.08670943181818,5.66351265909091,18.6594815625,14.54802059375,7.83385261363636,6.76706898011364,6.48109381818182,4.16120559090909,6.08546940625,21.2330640369318
"Ppargc1a",0.674534583640383,0.879813294030951,0.683737627118644,1.61744399410464,1.04824611643331,1.37611414885777,0.813000088430361,0.478497126013265,0.680404878408254,0.59628511422255,0.775634554163596,0.697783809874724
"Ppargc1b",13.6368575388027,9.00120532150776,7.19024168514412,7.21787228381375,9.47556086474501,12.2005506651885,6.71224257206208,3.89356297117517,5.25037017738359,5.97825066518847,10.450473059867,5.29496141906874
"Ppat",67.380402369697,66.6893229818182,75.8564243151515,64.8605685757576,48.0758596909091,45.7599906606061,65.2296057393939,48.2117872787879,46.1136298727273,51.7555053515152,64.2639010121212,62.5219572969697
"Ppbp",0,0,0.0300950920034394,0.0868447257093723,0,0.0111756216680997,0,0.0166652175408426,0,0,0,0.00841591745485813
"Ppcdc",0.871038697836706,2.48009600279135,1.02138729030007,1.19538347801814,1.02667419260293,0.801056133984648,0.829256734124215,0.786604510118632,1.64046811444522,0.71565888346127,0.802249309141661,0.688250892533147
"Ppcs",18.3479245113802,9.56375946502401,13.6153200839424,11.9079982294842,7.65196820484444,12.7207503301316,10.822684292963,8.65776196074337,11.2565684238881,9.60587536876175,9.93845316558781,5.43441165817498
"Ppdpf",4.8499525511432,6.85576932611312,7.06198848375451,7.41677064981949,7.63981226233454,6.86945658243081,7.40000458483754,8.38789949458484,7.16112959085439,8.021733188929,6.8951587244284,7.0132114921781
"Ppef1",0.0085420258453586,0.0439891035968124,0.00665287098858497,0,0.00804656730562136,0,0.008672277837605,0.0071378091751023,0.0168345690286453,0,0.0150886913633427,0
"Ppef2",0,0.0117696021872864,0.0129151206425154,0,0,0,0,0,0,0.00640834073820916,0,0
"Ppfia1",10.7926629448529,10.2682909203431,11.4418922984069,8.32088163112745,10.8781210652574,9.4116336026348,8.08805758823529,6.44573283517157,6.30924486795343,6.71021797824755,9.15400330269608,8.91925720404412
"Ppfia2",1.66531664167651,1.5867900850059,1.11596186953955,0.845441936245573,1.40917487249115,1.25043228807556,1.37870405489965,1.24773914167651,1.64602458913813,1.27593918063754,0.753089089728453,1.19209549940968
"Ppfia3",0,0.0166426491271207,0.0237241659700025,0.00778932603884927,0,0.00874829333661175,0.0297017287927219,0.0447974723383329,0.00962506343742316,0.00937733021883452,0,0
"Ppfia4",0.43130736473755,0.394273577388964,0.61034863526245,0.0852674993270525,0.335848091520861,0.0957664441453566,0.382364796769852,0.517709033647376,0.210396333781965,0.256479849259758,0.264891606998654,0.569809948855989
"Ppfibp1",53.7101599618138,58.1510695560859,69.2897305202864,46.2167482195704,38.2923599427208,36.3772605250597,53.4218217852029,45.9191399713604,46.4872746157518,42.3205215465394,44.6221985298329,52.4466453078759
"Ppfibp2",25.8709480265683,29.8913838612546,22.1072275778598,21.93998539631,31.0208930538745,30.5905270405904,35.0817023468635,32.0217732634686,29.8725535822878,29.8933291483395,29.9498249859779,28.768848197786
"Pphln1",30.4715620773854,30.4234028084147,29.8918327693464,19.0695488249437,25.8245302652141,23.3059725281743,21.6292196235913,21.5961794500376,23.7172375905334,23.3514642607062,25.4801461164538,22.6426359669422
"Ppia",350.077759631188,389.149199011139,418.738237904703,307.091114855198,432.468946871287,409.910396509901,338.978730917079,393.761647377475,356.917423142327,363.775355441832,391.002956424505,344.201765280941
"Ppib",61.3313366190155,91.8798863762643,95.8788732326366,65.8330505812542,82.4326433674983,86.6349263115307,87.7020478300742,106.951220314228,81.487208716116,92.3199510856372,80.2851313378287,62.6384685704653
"Ppic",0.0400990242038217,0.892477222929936,1.02820783184713,0.46606545477707,0.203344591082803,0.204556323566879,0.29333109044586,0.105083443312102,0.0955811821656051,0.170203535031847,0.190144992356688,0.280140122292994
"Ppid",24.4991599556236,22.8866519280796,17.2750907528692,14.7940334307575,18.4766487115532,20.3912397658761,17.7251388194338,16.3419945776588,19.6445803351186,20.9306165684774,18.9562496625861,24.134096289977
"Ppie",3.18539122972973,2.33187298648649,3.20625364414414,1.93525918018018,3.02423071621622,2.24233648648649,2.17228798198198,2.67731573423423,1.91299595945946,2.21428942342342,2.32918738738739,2.6197612027027
"Ppif",39.2155590262646,33.5649553910506,26.5897932830739,33.5155576420233,59.7314993200389,48.8582803677043,29.1672920038911,30.4396497422179,30.7502228336576,39.4382254173152,54.9593236138132,49.8477774951362
"Ppig",17.0535979641929,13.6122604244874,14.1926118538839,8.27595033930118,10.8206684955241,11.6721543459428,11.1625571902974,11.1839639113485,10.4552014654923,10.3632172827029,13.0903793676003,12.9526042737511
"Ppil1",0.702233109389243,1.45945029097539,1.7679721088423,0.743642014767548,0.906054100091158,0.847435924521422,0.901367248131267,1.124152725433,0.97310260437557,0.950747304649043,1.02586799343665,1.0102642958979
"Ppil2",11.9648080953413,13.9884523423619,14.1934408407367,11.548845035753,13.1266401646804,12.1028868039003,12.5027715796316,12.3257334344529,11.3296418028169,12.9379137074756,12.5483366587216,12.6237271852654
"Ppil3",0.803860647667569,0.868476527941411,1.02530667600701,0.625142823117338,0.470153287693042,0.436010299633816,0.590220938067187,0.66286703518548,0.726084370641618,0.79894667345964,0.578987734437192,0.660440654035982
"Ppil4",11.2405199811794,9.12014289585947,11.2779308092848,5.71872954830615,7.75832140464241,7.71951798996236,7.16858597427855,7.89465802007528,6.13340315934755,6.27162769636135,7.7108126944793,9.01333954391468
"Ppip5k1",1.04421018336229,1.70522520266358,1.8008564582127,0.784853636363636,0.918173755066589,0.850215229685389,1.14348010808724,1.16825947693495,1.32667233256128,1.19729260567458,1.34234073634434,1.1069007373094
"Ppip5k2",12.073333070471,11.0357700185631,11.6237847940873,7.62754571811619,12.9294709377793,11.7977549054658,10.2276738411825,9.84311060295634,9.95624965211413,7.80007088552767,10.0514338288072,10.3414290697834
"Ppl",1.66850196791834,6.18237250018228,17.2106338180824,1.0817745920525,4.08320871819176,3.72627480714546,2.13719554611739,1.42729370725483,2.00095761064528,2.19664865730952,4.77272650236967,5.39703454611739
"Ppm1a",47.4449017322997,45.6035491782946,45.9947678521964,37.770400050646,44.9950530645995,41.9761579297158,44.7480160155039,39.0316165105943,35.3128902976744,40.8355203617571,39.1557120878553,42.0850787917313
"Ppm1b",58.046980917478,43.4428364580436,40.8026772420028,38.1594338437645,53.5781693806212,46.6770265178489,48.8446641502086,42.6559605674548,39.6045314830784,40.1574250482151,48.7702118952248,50.9580034061196
"Ppm1d",2.77901746743021,2.40247688224767,2.37082146492484,2.01637220472441,2.75004928310666,1.93155101216893,2.0808647555476,2.10708427845383,1.54583572834646,1.85984843092341,2.20119990300644,2.04318518861847
"Ppm1e",0.109881065836299,0.334419857058126,0.387929507117438,0.158387913404508,0.193430307829181,0.304645454329775,0.166407039739027,0.118946306642942,0.135030113285884,0.210132346975089,0.290378925860024,0.279989365954923
"Ppm1f",2.72699903963415,3.69381766006098,3.95816196265244,4.19996764481707,3.23349561356707,3.5458307183689,3.37093223323171,2.89200940929878,3.25847731897866,3.45508408536585,2.66403337271341,3.61241861089939
"Ppm1g",2.95476310122184,3.47951252908867,4.44167210705078,3.31576622306916,3.50635353009752,3.00884647304114,2.8159967459926,2.52054263210402,2.6522850158054,2.95434601513283,2.58188644512947,2.84617782076
"Ppm1h",12.1193732675439,15.7279754049708,15.2154928991228,9.12671945906433,10.3774592777778,12.0787520204678,11.768683377193,11.1080392178363,11.7954959736842,12.0098292690058,8.84511979678363,11.1266434181287
"Ppm1j",0.0224855369458128,0.0657685344827586,0.0965733325123153,0,0.0508803793103448,0,0.0320173891625616,0.0274480246305419,0.0467650443349754,0.0156557142857143,0.0364185689655172,0.0684394187192118
"Ppm1k",58.9644030429448,52.5158754802008,35.2040025521472,35.7333275984384,79.1213124818739,68.6917905633017,30.8527417467931,26.382802382599,23.9217845398773,16.9709387886224,37.7966930953709,68.1290267127719
"Ppm1l",16.5038756350575,18.254109183908,18.1393538491379,18.1734292492816,19.8363177485632,16.2381426293103,17.5952369367816,10.3903117715517,12.5474057262931,16.4302581587644,12.6159346436782,31.6118967557471
"Ppm1n",0.0459994672131148,0.35291456557377,0.119711680327869,0.0971186557377049,0.303413803278689,0.231781155737705,0.207970106557377,0.130741647540984,0.111929778688525,0.140119081967213,0.148130385245902,0.0963071065573771
"Ppme1",7.0127670568421,6.52982159494737,8.22634635789474,5.91801634863158,6.78068138778947,6.93888086905263,6.55761661136842,6.24195716715789,6.47861636210526,6.88836797305263,6.06699698021053,5.74098427957895
"Ppox",1.997575696875,4.12016702572115,3.13663153004808,3.34029046947115,2.93705985480769,3.75390970889423,3.98470415168269,4.82806066610577,4.69691392235577,3.55322645985577,3.3663799125,2.903343265625
"Ppp1ca",41.6771641288692,55.6319474213519,60.4372958584965,48.3014001869867,48.3417101503474,43.0981499128238,42.1184888035376,41.8125891092862,40.8183898218572,40.4772882678459,41.2915124194567,45.4551813922931
"Ppp1cb",48.3606326519237,47.8822519139655,49.807532990003,34.2885129742502,39.9668451984247,39.0919107228113,41.4193256782793,40.2557689912148,36.6269578236898,33.4247716013329,37.6466619860648,39.2661120872463
"Ppp1cc",11.1516644360878,9.33194193505076,10.7049754125096,8.51950667132409,8.45414253520358,8.63065540650584,9.23449153640432,8.18618639220609,7.69901037528654,8.15359798482698,8.83676868169414,9.13645329472765
"Ppp1r10",16.7478401065246,13.7343604793609,15.1465198402131,14.3150419174434,22.2881901464714,18.0365649001332,11.7189941944075,9.73572388814913,12.2146587483356,12.3774208255659,14.2069013049268,16.8271584553928
"Ppp1r11",3.95653666491521,4.97862044494865,6.66231429233341,3.7888914072128,4.09478129878194,3.91021491664676,4.12009001695725,4.07820460066874,3.90157325650824,3.59685312897062,4.14090342345355,4.07962124767136
"Ppp1r12a",75.4015416528302,78.190344790566,88.8681517735849,52.3033609283019,62.623383109434,59.9411026188679,64.349968045283,67.7495745207547,63.6726277584906,53.6627750113208,49.4886231415094,83.7305687981132
"Ppp1r12b",25.2044867382271,30.2319597950139,33.8083406024931,15.2087826038781,26.773276267313,22.7005392839335,22.7636385263158,21.3764321980609,21.5591192867036,23.4457396869806,21.6570861578947,23.4033097922438
"Ppp1r12c",4.53507442857143,6.03530367243867,8.12120237950938,5.65174207215007,6.2065165007215,5.52418911111111,6.17508720490621,5.43676859307359,5.74840216594517,5.59465848629149,5.14189001443002,5.11536443434343
"Ppp1r13b",14.6383727142857,20.8278421428571,23.6434247142857,11.7601939285714,15.2388065714286,12.6265530714286,13.3525743571429,15.3503545714286,11.5605045,12.0226827142857,12.3331075714286,13.9594975
"Ppp1r14a",1.79725690487925,4.58117920650567,4.36881324790537,3.6653632380483,3.66170208477082,3.40466305569246,3.64622133070478,5.16991569245934,5.02142531296205,3.31825477082307,2.52420741251848,4.27818533760473
"Ppp1r14b",2.13789940590749,4.30641708415382,6.69173809734349,3.07267467025822,2.14310858963403,2.35772057477243,2.62842845922348,2.655331308564,2.71750056511239,2.59651345718001,2.08463208879807,3.0630253810143
"Ppp1r14c",0.0486450136986301,0.0969862465753425,0.167602630136986,0.072324095890411,0.0418637397260274,0.14864902739726,0.0608458219178082,0.246079342465753,0.131680547945205,0.0144158767123288,0.0687072054794521,0.0378565753424658
"Ppp1r14d",0.0226809650053022,0.0475816352067868,0.090610553552492,0,0.00850900106044539,0.0393110498409332,0.0326287221633086,0,0,0.0402839904559915,0.00775677200424178,0.0121855599151644
"Ppp1r15a",8.0907147283737,6.10709809919262,14.784336583045,9.37092830911188,14.0784622266436,6.83367434025375,3.36358586620531,3.37043344867359,2.76473248385236,4.43409866955017,3.25114252422145,4.53950486851211
"Ppp1r15b",80.6022257420213,67.4823862792553,60.4919369893617,70.3206732446809,67.3541003085106,64.1394655611702,56.3782369361702,46.1656551489362,47.799432462766,61.1205719920213,86.4984862021277,62.4645671994681
"Ppp1r16a",6.81338331870968,9.69822708387097,7.95556298322581,8.10064214709677,9.00797694967742,9.08390749935484,8.57659668387097,7.08982179096774,6.68846006709677,7.29672338322581,7.43950686193548,9.09310041290323
"Ppp1r16b",1.36693389111748,1.57954067163324,1.69803335014327,1.09242632091691,1.52193390945559,2.0117200034384,1.15935392206304,1.10639569054441,1.33001908882522,1.55094156217765,1.10582070372493,1.42827806762178
"Ppp1r17",0,0,0,0,0,0,0,0,0,0,0,0
"Ppp1r18",4.13370025950783,5.58634404295302,5.91181233467562,3.45023168501119,5.02546189888143,4.46438073557047,4.1093516098434,3.74103176733781,4.8861814049217,4.23764718389262,3.22679431588367,4.26474912930649
