NAME	W48_WT1	W48_WT2	W48_WT3	W48_KO1	W48_KO2	W48_KO3
C4BPB	13.9604953	13.53113584	14.01941292	13.98700476	13.82889105	13.94440483
C5AR1	6.95647564	6.422674125	6.459026212	6.924268831	7.065066963	7.115496355
C5AR2	7.91762453	7.448804885	8.782847612	7.563295611	8.242147468	7.835749248
C6	13.49966528	13.21859542	13.41741196	13.21296551	13.32624212	12.90045024
C8A	15.34506665	14.85339401	14.99016234	15.42167776	15.57143349	15.27649637
C8B	14.01499604	13.79828143	13.93101565	13.92238263	13.90783183	13.95150831
C8G	12.73565378	12.69070162	12.51768146	12.35350579	12.45326956	12.69571283
C9	16.14662201	15.17901653	15.69562432	16.76236232	16.5266609	16.57494135
CAAP1	7.769990255	8.019560665	7.70615153	7.482310844	7.726895399	7.709417716
CAB39	10.89298237	10.99142932	11.05450856	11.09811083	10.97051415	11.03832796
CAB39L	8.448359472	8.614134947	8.724714949	8.416642889	8.561215234	8.520885542
CABIN1	9.555540082	9.449015308	9.311661461	9.334757939	9.302752463	9.647227379
CABLES1	7.239123089	7.227788096	6.103270213	7.406297801	7.16890224	7.447761253
CABP1	7.391240738	7.342524751	7.186397699	7.115428331	7.17888628	7.534155679
CABP4	4.324766809	3.212853641	3.880973266	4.357700639	3.584018439	4.150530775
CABP5	3.851955935	2.848772191	4.783998589	3.501394252	2.999098864	0
CABP7	6.043474098	6.197285231	6.283633901	6.125795397	6.671405527	6.010046324
CABYR	5.860917496	6.197285231	5.682407741	6.303935026	6.302763874	7.200146572
CACFD1	8.585066799	8.387909675	8.299329469	8.225292271	8.298181373	8.387999055
CACHD1	5.619367853	5.85471408	5.962096827	6.217612984	5.699429615	5.713587227
CACNA1A	4.615842859	4.215494737	4.338147217	4.186480432	3.999034475	4.494934861
CACNA1B	0	0	0	0	0	0
CACNA1C	4.912605301	4.29363612	4.201246083	5.049679809	4.856986606	4.834594992
CACNA1D	8.666852601	8.531889348	9.14435622	8.775039833	8.395577923	8.832588247
CACNA1E	0	0	0	1.102445199	0.999485134	0
CACNA1F	1.084039913	1.024304337	0	2.751874004	1.999227632	1.135611989
CACNA1G	4.615842859	3.74499422	4.127594139	4.51073906	4.086493529	3.941614295
CACNA1H	6.248641138	5.570736951	3.967949458	4.436248153	4.391336567	7.313059903
CACNA1I	0	0	0	1.720000904	0.999485134	1.135611989
CACNA2D1	6.018766802	6.197285231	5.962096827	6.405045516	6.227802512	6.186402436
CACNA2D2	4.403223806	4.215494737	4.127594139	3.501394252	3.584018439	4.049850882
CACNA2D3	0	1.024304337	2.69892415	1.102445199	0.999485134	2.198919146
CACNA2D4	8.662871574	8.918469419	8.038048468	8.880639789	8.872416393	9.072817892
CACNB1	2.124292613	2.036304669	3.057317465	2.978762783	2.806472182	2.533182012
CACNB2	6.227233515	6.276392431	7.053504615	5.838245123	5.929724312	5.538862885
CACNB3	4.324766809	4.132877352	4.463175915	4.436248153	3.905929364	3.229560562
CACNB4	5.246363207	5.256377463	4.684778836	6.810915494	6.107509473	6.446131411
CACNG1	1.084039913	0	0	1.102445199	0.999485134	0
CACNG4	3.144005489	1.024304337	1.905577195	1.720000904	3.169009557	2.198919146
CACNG6	0	1.024304337	0.937743025	1.102445199	0.999485134	0
CACTIN	8.396558823	8.431768346	8.400515512	8.445414146	8.43360129	8.473083749
CACUL1	11.10515531	11.1521279	11.11531144	10.94869519	10.89378839	10.95725803
CACYBP	10.41480827	10.33703418	10.3525513	10.24640771	10.42523559	10.55284705
CAD	9.957694469	9.64060163	9.816792865	9.57719605	9.532301207	9.530643281
CADM1	9.549084028	9.459647374	9.65582711	10.06053416	10.0282583	10.22222265
CADM2	0	0	0	0	0	1.135611989
CADM3	5.860917496	6.047465042	5.7575752	5.362869864	5.490846076	5.005626954
CADM4	6.248641138	6.842194696	6.816274111	5.717628117	5.806343404	6.255848128
CADPS	1.084039913	3.503321217	2.889221286	4.274629115	4.391336567	3.402850338
CAGE1	6.11515432	6.61756248	6.159785562	6.052881764	5.806343404	6.56033529
CALB1	3.735479543	4.29363612	2.220985161	3.64060134	2.584104289	3.402850338
CALCB	0	1.024304337	1.50134152	0	0	0
CALCOCO1	10.53293317	10.59795905	10.00593856	10.03867169	10.17763582	10.00915819
CALCR	0	0	0	0	0	0
CALCRL	9.401601504	9.557915975	9.380655292	9.713542585	9.540068082	9.492789711
CALD1	12.84488716	12.59316251	13.01894295	12.98495164	13.18755904	13.04355234
CALHM2	6.067765376	6.276392431	5.940752352	6.365447548	6.425246819	6.343529856
CALM1	12.18682336	12.2090125	12.34615332	12.18033049	12.53473164	12.22023109
CALM2	11.3758839	11.58443726	11.44494805	11.69438605	11.8059227	11.85707508
CALM3	9.597857534	9.757233175	9.925371204	9.740879313	9.875488127	9.763063187
CALML3	1.695961945	0	0	1.720000904	0.999485134	0
CALML4	5.860917496	6.047465042	5.547710794	5.748740864	5.726909978	5.955428815
CALN1	2.948560724	1.61727814	6.473962273	2.751874004	2.321104221	5.382044432
CALR	14.52202781	14.17668108	13.74131639	14.33395493	14.78350273	14.38617523
CALR3	5.203156313	5.29488536	6.024298504	5.192299722	5.642846879	5.501227198
CALU	11.96511771	12.08436833	11.93947078	12.1511541	12.26399924	11.97674215
CAMK1	9.735002201	9.356470255	9.857227674	9.818080247	9.63378243	9.819582855
CAMK1D	9.965795943	9.847434417	9.816792865	10.04338448	9.847594142	10.06019826
CAMK1G	0	0	0	0	0	0
CAMK2A	1.695961945	1.024304337	0.937743025	2.751874004	3.169009557	2.804381396
CAMK2B	2.948560724	2.036304669	2.479656385	1.720000904	0.999485134	0
CAMK2D	7.352218361	7.207745769	7.213349253	7.25198569	7.265763315	7.397430282
CAMK2G	7.630184854	7.640417377	8.0330145	7.804476419	7.831864617	7.797445768
CAMK2N1	6.138277564	7.00201993	6.428682035	6.101897974	5.320923936	4.950838657
CAMK2N2	2.722426914	3.365385341	3.583320563	4.775325066	3.999034475	4.049850882
CAMK4	2.45413821	3.503321217	3.057317465	3.884226386	1.999227632	3.229560562
CAMKK1	6.183441054	5.775231663	5.630028209	5.717628117	5.905877851	5.839569641
CAMKK2	5.407307742	5.29488536	5.085724261	5.838245123	6.391299772	6.596478945
CAMKMT	5.407307742	4.045239863	5.046295576	5.322080445	4.642867485	5.109330821
CAMKV	0	0	0	0	0	0
CAMLG	7.806535954	7.796178329	8.116291042	8.036490911	8.026880028	8.046391949
CAMP	0	0	0	3.347306288	0	2.804381396
CAMSAP1	8.901182947	8.852230961	9.183500208	8.975751068	8.674929636	8.93140768
CAMSAP2	10.37277548	10.08570785	10.23033128	10.28007391	10.23019212	10.16018299
CAMSAP3	9.05186983	8.713425146	9.060258194	8.90846024	8.780332139	8.734630685
CAMTA1	6.805762666	6.942625315	6.744179779	6.605307311	6.356534653	6.541918128
CAMTA2	10.09993288	9.668365589	9.660730948	9.765807819	9.822338461	9.870285684
CAND1	11.44009637	11.47916401	11.534497	11.29998709	11.36638523	11.40348059
CAND2	3.608766926	4.569705204	4.684778836	4.946111347	4.246951822	4.150530775
CANT1	9.551239258	9.720573247	9.516700387	9.40235302	9.52253344	9.466177007
CANX	14.26623975	14.09071758	14.18811699	14.24392965	14.40955398	14.18917776
CAP1	11.0041463	10.89680324	10.99944182	10.96534629	11.09634432	11.05547069
CAP2	5.203156313	5.661947984	3.468690349	5.098803094	3.699489053	4.049850882
CAPG	7.260356299	6.602290412	7.168146151	7.509813986	7.998974109	7.958861874
CAPN1	8.839031789	8.276866656	8.348785106	9.092524485	8.973386722	8.516176009
CAPN10	6.862405693	7.070209084	7.023362026	6.977771664	6.881621865	7.025567976
CAPN11	1.084039913	3.04226761	2.69892415	0	0.999485134	1.763086406
CAPN12	4.5483925	4.29363612	4.783998589	4.891398609	4.246951822	4.834594992
CAPN13	1.695961945	2.036304669	1.905577195	2.151062972	2.806472182	0
CAPN15	8.67478185	8.242801044	8.053045835	8.230811984	8.325402781	8.264264613
CAPN2	9.903052495	10.05798864	10.11715139	10.26131772	10.21934928	10.23660893
CAPN3	2.124292613	2.625245201	2.69892415	3.347306288	2.321104221	3.229560562
CAPN5	6.71639658	6.705948011	6.719324881	7.003796955	7.021345822	6.523262813
CAPN6	2.722426914	3.74499422	2.69892415	3.501394252	2.999098864	2.804381396
CAPN7	9.933113456	9.863536682	9.970831348	10.09120252	10.05831551	10.13429304
CAPN8	0	1.024304337	0.937743025	2.151062972	1.584275972	0
CAPN9	0	1.024304337	0	0	0	1.135611989
CAPNS1	9.624712872	9.331218258	10.99491844	9.334757939	9.40198363	10.68775247
CAPNS2	3.144005489	0	3.583320563	0	1.999227632	0
CAPRIN1	12.28203458	12.35738877	12.41331257	12.43197642	12.6303747	12.45918654
CAPS2	5.714749794	6.176811585	5.805595631	6.02773467	5.671415628	5.575541677
CAPSL	0	1.61727814	1.50134152	1.102445199	0	1.135611989
CAPZA1	10.29388534	10.21934168	10.27152011	10.47290671	10.54103532	10.56543873
CAPZA2	11.22475152	11.25702997	11.41091151	11.43043963	11.36310513	11.40666488
CAPZB	10.6898471	10.71084513	10.77512248	10.80530729	10.96835712	10.95812642
CAR1	5.203156313	4.953515418	5.26816104	2.151062972	0.999485134	2.804381396
CAR11	4.324766809	3.629212293	2.69892415	2.151062972	3.905929364	3.402850338
CAR12	1.084039913	1.024304337	0	3.992168379	1.999227632	4.416231504
CAR13	2.948560724	2.036304669	3.468690349	3.174770956	3.699489053	2.804381396
CAR14	9.819685997	9.975935292	9.918563408	9.863203581	9.795010852	9.957983469
CAR15	0	0	0	0	0	0
CAR2	8.228965096	7.369837761	9.290724927	9.2584449	9.284373954	9.046929702
CAR3	13.88987229	14.1480442	14.57674855	11.81779828	11.38051342	11.83833143
CAR4	0	0	0.937743025	1.102445199	0	0
CAR5A	9.692674065	10.31143663	9.816792865	9.677616635	9.762183637	10.16620782
CAR5B	5.745192097	6.217472391	5.682407741	5.685829586	4.522576834	5.680294328
CAR6	4.912605301	5.802215286	6.249320089	6.638910006	4.953199629	5.058410493
CAR7	4.241796525	5.747733714	5.367485876	4.713587359	5.490846076	5.777953164
CAR8	10.31179306	10.08433447	11.13423935	9.861425486	10.21207517	10.03243239
CAR9	2.948560724	4.215494737	2.889221286	3.767550324	3.458495362	3.032577782
