NAME	W32_WT1	W32_WT2	W32_WT3	W32_KO2	W32_KO3
SEPP1	17.69493482	17.47261299	17.53684857	16.70319483	16.37905552
SEPSECS	11.1351626	11.27474393	11.27796959	11.11967442	11.03764965
37135	5.097793068	5.482177868	5.292883233	5.827311894	5.245481665
40422	7.842694428	7.965691652	8.018874936	8.096004105	8.142347475
40787	8.943665553	8.699171579	8.976328869	9.41060758	9.630589199
37500	11.01283664	11.07718601	11.12985483	11.39897854	11.45681417
37865	3.371554227	3.02038256	1.003843787	2.514452048	2.555396783
38231	7.676813915	7.881152478	7.84053379	8.43418397	7.780219513
38596	3.751316136	1.600518125	2.813938014	3.762364685	4.666271166
38961	4.753397542	5.482177868	5.136741589	5.274651092	5.532890947
39326	8.662228078	9.131753625	9.131784949	9.36492599	9.616569161
39692	6.562237347	6.817478873	6.775791435	7.530120955	7.757167983
40057	11.38761135	10.96283845	11.12011341	11.2877717	11.26546817
SEPW1	9.916065072	9.562398772	10.18259642	9.793108276	10.25745532
SERBP1	11.98391082	12.14447552	12.16154433	11.84800107	12.05961747
SERF2	12.20031965	12.10873814	12.16786226	11.93683286	11.83806622
SERHL2	7.120722383	7.000367691	6.996301754	7.492851634	7.067247777
SERINC1	12.83351641	12.9754633	13.07107155	12.65549572	12.71808756
SERINC2	2.366123762	2.017488337	2.813938014	4.947390519	6.009387108
SERINC3	11.89186083	11.80257339	11.82944923	11.63073787	11.60747765
SERINC4	2.854656215	3.828976088	4.466760892	4.421323801	4.308613185
SERINC5	10.72919545	10.37860446	10.40748365	10.58950442	10.59304619
SERP1	12.69074587	12.93727933	12.81643941	12.4195501	12.45727284
SERP2	1.027780542	1.600518125	2.813938014	2.050514694	0.762900456
SERPINA1	17.99343829	17.62482406	17.78903064	17.23566108	17.26924488
SERPINA10	13.83084839	13.83654955	14.05675967	13.79899746	13.43788486
SERPINA11	12.04157607	11.64073111	11.82705603	11.80873123	11.71396851
SERPINA12	2.366123762	2.017488337	1.003843787	1.747130845	2.555396783
SERPINA16	0	1.011682414	0	1.747130845	1.627931827
SERPINA3C	17.1274197	17.03088944	17.00600328	13.72081501	11.43337534
SERPINA3M	13.62595479	13.7128305	14.00926101	13.46353264	13.42678886
SERPINA3N	17.37803787	16.46253348	16.86535462	17.8739902	17.42352385
SERPINA4	14.25807542	14.39790189	14.74930206	13.65696425	14.15108348
SERPINA5	2.366123762	6.637745259	5.865526332	3.993407376	7.584588615
SERPINA6	12.83864074	13.23864988	13.78780643	12.58493311	11.15472876
SERPINA9	0	1.011682414	1.003843787	1.362480358	1.259301073
SERPINB10	2.366123762	0	2.005761846	2.301052506	2.994396372
SERPINB11	3.958322349	1.600518125	1.003843787	1.362480358	1.921282022
SERPINB1A	5.936763742	5.804210926	5.007438059	7.268646738	7.923766345
SERPINB2	1.027780542	0	1.003843787	0.836436669	0.762900456
SERPINB5	2.366123762	1.600518125	2.328073247	3.382336896	5.218732091
SERPINB6	7.755216313	8.203100475	8.177575774	7.857834808	8.138784691
SERPINB6B	6.183547618	6.530811932	6.217027249	6.099390995	6.461272167
SERPINB7	2.366123762	1.600518125	1.003843787	1.362480358	1.259301073
SERPINB8	6.768767375	6.709547378	6.877976633	8.079338507	8.497040012
SERPINB9	9.30997642	8.820880638	9.327337498	10.10548126	9.930680136
SERPINC1	15.90253316	15.71471421	15.74677218	15.17283312	14.97782134
SERPIND1	14.3259128	14.08489397	14.04599579	13.70613335	13.36285121
SERPINE1	7.654670698	7.326905626	5.984835739	8.809966051	10.19449813
SERPINE2	8.695145824	8.115943569	8.302273723	9.218503148	8.425736934
SERPINF1	14.48070865	14.15206959	14.17979188	13.83651647	13.63205312
SERPINF2	14.28865311	14.05126197	14.11538441	13.74907916	13.55227839
SERPING1	14.29343818	14.3910259	14.47470935	13.96851356	14.0917417
SERPINH1	9.314691402	8.453656627	8.749126456	9.924877856	9.725090376
SERPINI1	3.635491726	3.190628783	3.328839554	3.843560176	3.759600815
SERPINI2	1.027780542	0	1.003843787	0	7.376472685
SERT1	4.696730815	3.828976088	4.592320785	5.541229565	5.076996816
SERTAD1	7.273842293	6.868560292	6.416978211	7.441612556	8.211815576
SERTAD2	7.816338596	7.99472257	7.577492667	7.862712526	7.907108543
SERTAD3	7.403433062	6.562181559	6.274364456	7.072082599	6.875068436
SERTAD4	3.371554227	2.827324377	3.328839554	5.786825522	4.886201251
SESN1	9.344968815	9.636110003	9.503521781	9.272649805	8.419877492
SESN2	10.72919545	10.53599565	11.03350536	9.710290829	9.693868099
SESN3	8.518407623	8.69563975	8.387032733	9.628168705	9.449752249
SESTD1	7.312071092	6.562181559	7.607550732	8.041121756	8.16704361
SET	9.091106984	8.778105053	8.585086143	8.969959364	9.195728798
SETD2	11.43547704	11.7228365	11.601066	11.386755	11.42169482
SETD4	8.020604502	8.232646364	8.320536236	8.384174844	8.440282263
SETD5	10.72742849	11.05116593	10.91681643	10.91946149	10.96355932
SETD6	8.147595558	8.045550013	8.110937324	7.952387034	8.084259378
SETD7	6.321121307	6.709547378	6.499445376	7.216253599	7.089565425
SETD8	8.288476496	7.862373968	7.890287964	8.06247814	8.488667397
SETDB1	9.871959987	9.840229019	10.06430789	10.16789858	9.906789352
SETMAR	5.66864362	5.977094923	5.984835739	5.612461437	5.596610579
SEZ6	12.12380194	10.17933383	11.67523011	10.42529401	10.28350281
SEZ6L	4.139319119	5.577368601	4.9143127	3.843560176	3.226937666
SEZ6L2	0	0	1.590085277	0.836436669	0.762900456
SF1	11.68072799	11.62457008	11.4717098	11.48374097	11.63745227
SF3A1	9.562756695	9.415554059	9.397834904	9.527330385	9.59593004
SF3A2	8.302786104	7.947988491	8.116174073	8.293161065	8.437384905
SF3A3	8.868697419	8.827350366	8.837383266	8.92636128	9.171522951
SF3B1	11.9634148	12.16377615	12.31885651	12.05181468	12.10117225
SF3B2	10.84127528	10.7053737	10.77420187	10.75211443	10.80962128
SF3B3	10.92460121	11.04493393	10.67123074	10.85054242	11.15163847
SF3B4	8.931438281	8.648921389	8.479331005	8.8957533	9.015141677
SF3B5	9.102058061	8.820880638	8.890304186	9.018848406	8.867974405
SF3B6	7.412258932	7.345054799	7.425485096	7.415294021	7.314660353
SFI1	8.58627174	8.380752612	8.846864429	8.862048037	8.278091783
SFMBT1	10.06621116	9.679667246	9.467098102	9.777695721	9.738099064
SFMBT2	6.835904956	6.881052967	6.840500206	6.892939212	7.236810434
SFPQ	10.6124641	10.46826927	10.61407766	10.66962416	10.93097117
SFR1	9.68614519	10.14089331	9.904001729	9.967388393	9.875020789
SFRP1	7.088046963	5.830213631	5.707969821	7.642163532	8.310122032
SFRP2	2.630970595	2.017488337	1.590085277	2.050514694	5.322877367
SFRP4	0	0	0	0	2.555396783
SFRP5	1.027780542	1.600518125	2.005761846	2.301052506	3.427147819
SFSWAP	8.878284262	9.329296209	9.427626359	9.451653237	9.366903951
SFT2D1	8.501964723	8.61566822	8.507502095	8.476165838	8.428657755
SFT2D2	11.45482821	11.25807884	11.12855976	11.08200229	10.76236103
SFT2D3	7.340092257	7.193035673	7.207297615	7.505382022	7.780219513
SFTPA1	1.621885605	1.600518125	0	0	0
SFTPC	2.366123762	0	3.006719921	3.012695412	3.683390836
SFTPD	1.621885605	2.017488337	1.590085277	1.362480358	3.602929464
SFXN1	11.85146631	11.77982064	11.73218895	10.84068737	11.13340405
SFXN2	8.871900117	8.948035992	8.596372107	8.296769854	7.700293489
SFXN3	6.098611942	6.622945828	6.292981409	7.216253599	7.71950186
SFXN4	3.371554227	4.880455753	4.651227238	4.983665787	4.952643171
SFXN5	8.518407623	8.313216081	8.425507485	8.192146497	8.117221218
SGCA	2.366123762	0	2.591363134	2.514452048	3.517714198
SGCB	5.936763742	5.34462186	4.9143127	7.630771055	7.685717495
SGCD	2.366123762	1.600518125	3.006719921	1.362480358	3.900912618
SGCE	5.697812023	5.77773094	5.762423059	6.620859923	6.379101906
SGCG	1.027780542	0	0	3.4871321	2.555396783
SGK1	9.900467586	9.95250572	9.688906445	9.81843552	9.843631555
SGK2	8.293262153	7.817582867	8.34750373	7.80306242	8.23869251
SGMS1	9.658593167	10.45266099	10.27211373	9.81843552	10.02053858
SGMS2	8.979737621	8.754535702	8.658710003	9.15629773	9.588113606
SGOL2	2.041472751	2.340574818	2.328073247	3.762364685	2.373339817
SGPL1	10.31473545	9.573986994	9.970565693	10.03700802	9.890992513
SGPP2	2.366123762	3.342888803	3.466412722	4.367431054	4.029609405
SGSM1	1.027780542	3.02038256	1.590085277	3.4871321	4.089893894
SGSM2	9.173880179	9.382985412	9.32959349	8.776756481	8.662494833
SGSM3	8.510209599	7.953913715	8.121391883	7.84310192	8.004286931
SGTA	10.01208395	9.784795625	9.789028372	9.928371706	10.09044684
SGTB	6.098611942	6.592883583	7.302249337	7.347317269	7.133190959
SH2B1	9.447273296	9.476508691	9.288435819	9.448412218	9.449752249
SH2B2	5.545688836	6.465949123	6.607511262	6.804446514	6.643273478
SH2B3	9.649290977	10.16790884	10.12271411	9.717040148	9.668147324
SH2D1A	3.371554227	3.02038256	2.005761846	3.146711146	2.994396372
SH2D2A	4.139319119	4.021827497	3.176751336	3.993407376	3.115347237
SH2D3C	7.358475169	7.182980887	7.207297615	7.200927878	7.435745115
SH2D4A	10.5123787	11.20503449	10.94504728	9.203201432	9.143352497
SH2D4B	4.960125714	4.722822575	4.651227238	4.664179263	4.089893894
SH3BGR	1.621885605	2.017488337	1.003843787	5.612461437	5.637578662
SH3BGRL	11.69842463	12.1956935	12.04625164	12.54433473	12.3232235
SH3BGRL2	7.152674103	6.592883583	6.890255518	7.777461428	7.855949064
SH3BGRL3	8.244675848	7.99472257	8.041071136	8.267643579	8.261805978
SH3BP1	7.609337822	7.681368188	7.694140717	7.283273255	7.364320273
SH3BP2	8.209664856	8.217949054	7.846847711	8.12876864	8.297395139
SH3BP4	8.344882545	8.419807268	8.704626435	9.113967584	9.597228671
SH3BP5	11.21046329	11.14220168	10.58226587	10.04239213	9.843631555
SH3BP5L	7.775879475	7.398171351	7.814998098	8.14086601	8.050526801
SH3D21	6.530162797	6.737296638	7.265015156	7.368048698	6.998145467
SH3GL1	8.964817046	8.989009103	9.306873224	8.994610965	9.087155439
SH3GL2	2.630970595	2.827324377	3.466412722	4.871983371	4.626121144
SH3GL3	8.762266172	8.415519706	8.217104857	9.122126805	8.652535469
SH3GLB1	11.16418949	10.89516391	10.85237896	10.90475663	10.90026258
SH3GLB2	7.949627088	7.797952636	7.629690311	8.066711741	8.102664405
SH3KBP1	6.224211043	6.830419786	6.592560098	7.283273255	7.082164503
SH3PXD2A	9.052110034	8.222864813	8.658710003	9.044832968	9.209380525
SH3RF1	8.344882545	8.634236745	8.519409035	8.222821032	8.353802282
SH3RF2	1.027780542	0	1.003843787	2.301052506	4.147760049
SH3TC1	7.403433062	7.623064834	7.274414179	7.852940544	7.509328995
SH3YL1	7.912784451	6.929969202	6.984896512	8.495137589	7.919619891
SHANK1	1.027780542	0	1.003843787	0	0.762900456
SHANK2	10.5123787	10.47755383	10.50751796	10.98411911	10.68691066
SHANK3	9.677019522	9.474449122	9.603857223	9.924877856	10.03402689
SHARPIN	8.381297486	8.152471559	8.187560046	8.230388832	8.265077879
SHBG	2.854656215	3.928621808	2.328073247	3.762364685	2.373339817
SHC1	11.03228937	10.76134973	10.65152876	10.80502132	10.98653556
SHC2	4.300118853	4.191912958	4.094689721	4.618768989	5.106479749
SHC4	1.027780542	2.017488337	2.591363134	3.269329082	2.862369745
SHCBP1L	0	0	1.003843787	0.836436669	1.627931827
SHD	2.630970595	1.600518125	2.328073247	2.864943753	1.627931827
SHFM1	10.0828905	10.06900881	10.04109305	9.642420858	9.827123747
SHISA2	0	1.600518125	0	0	0
SHISA3	6.639436126	4.722822575	6.007557714	3.676325519	5.322877367
SHISA4	0	0	2.005761846	2.050514694	2.994396372
SHISA5	9.254616737	9.320150494	9.27445147	9.259764781	9.307847506
SHISA6	1.027780542	0	1.003843787	0.836436669	1.259301073
SHISA7	1.027780542	3.190628783	3.006719921	2.700315487	2.164945075
SHISA8	1.027780542	1.011682414	1.003843787	2.514452048	1.627931827
